Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2009,8/14/2009,8/2/2009,"United Parcel Service Co., Miami, FL 33152","Victim was unloading a palette of boxed flowers, and was struck on the torso, while pulling a box towards him. The stack of boxed fell, causing him to lose his balance, and fall backwards down 1'8"" high."
FY 2009,8/14/2009,8/3/2009,"L&L Fleet Services, LLC Madison, AL 35756","The safety supports failed on a dump truck bed, causing the bed of the dump truck to fall onto the victim, crushing him."
FY 2009,8/14/2009,8/6/2009,"Walt Disney World Lake Buena Vista, FL 32830","Victim, during a choreographed sword fight, stumbled and fell into a wall."
FY 2009,8/14/2009,8/6/2009,"Zodiac Services Americas College Park, GA 30337","Victim was found off his forklift, apparent heart attack."
FY 2009,8/14/2009,8/10/2009,"Sweeping Services of Texas - Operating LP Lewisville, TX 75022",Victim was picking up trash/debris along the roadside and was struck by a tire that had sheared off a truck axle.
FY 2009,8/14/2009,8/11/2009,"Lucas Construction Group, Inc. Avenel, NJ 07001",Victim was struck on the head by a metal trench plate.
FY 2009,8/14/2009,8/11/2009,"MJM Greenway Landscaping & Management, Inc. Port Orange, FL 32128","Victim was doing landscaping services. He was later found collapsed in the company truck, apparent heat stress."
FY 2009,8/14/2009,8/11/2009,"Superior Construction, LLC Jacksonville, FL 32256",Victim was surveying the ramp shoulder and was struck by an automobile.
FY 2009,8/14/2009,8/12/2009,"SMC, Inc. Odessa, TX 79764",Victim leaned across a horizontal milling machine turning at 138 RPM. One of the sleeves of his shirt was caught by either the spinning shaft or drift. Victim was pulled off the floor and wrapped around the shaft.
FY 2009,8/14/2009,8/12/2009,"Tank Builders, Inc. Richmond, TX 77407","Victim was welding on an overhead interior structure of a water tank, and collapsed on the scaffold, possible heat stress."
FY 2009,8/21/2009,8/2/2009,"Sisler Lumber Company New Creek, WV 26743","Victim was pouring gasoline into a carburator of a truck, it backfired and covered the victim with buring gasoline."
FY 2009,8/21/2009,8/7/2009,"Time Dameron Construction Co. Jackson, MO 63755","Victim was working on the second floor, nailing in window jams. He fell out of the window, 13 feet to the ground."
FY 2009,8/21/2009,8/10/2009,"Jersey Central Power & Light Company Wrightstown, NJ 08562",Victim was working on a circuit breaker and received an electricl shock.
FY 2009,8/21/2009,8/13/2009,"Craftsman Drywall Contractors LLC Houston, TX 77070",Victim was removing sheetrock and metal studs. He was electrocuted by exposed wires.
FY 2009,8/21/2009,8/13/2009,"Jim Stucco Inc. Lawrenceville, GA 30045",Victim died from a heat stroke.
FY 2009,8/21/2009,8/14/2009,"All Industrial Services, Inc. Monessen, PA 15062","Victim was removing a 5,000-pound valve using a 50-ton mobile truck crane. During the process, the valve came free from its rigging and fell through the scaffold platform that the victim was standing on. Both the valve and the victim fell 10 feet to the inside of the tank, with the valve pinning the victim to inside wall."
FY 2009,8/21/2009,8/14/2009,"John Molina Contracting New Kensington, PA 15068",Victim fell 18 feet from a ladder jack scaffold.
FY 2009,8/21/2009,8/14/2009,"Park-Mark Inc. Boonville, MO 65233",Victim was operating a walk-behind stripe groover machine and was struck from behind by an errant vehicle.
FY 2009,8/21/2009,8/14/2009,"Suarez Construction Pearland, TX 77581",Victim was working on a foundation of a single family residence. He collapsed outside the adjacent house.
FY 2009,8/21/2009,8/17/2009,"D&M Plumbing Sedalia, MO 65301","VIctim was working from a ladder, repairing a pipe in the kitchen area, and fell from the ladder."
FY 2009,8/21/2009,8/17/2009,"Industrial Builders, Inc. Medina, ND 58467","Victim was covering concrete with a burlap cover. The winds picked up the burlap cover, entagling the victim and pulled him off the bridge. He fell 18-20 feet to the dirt embankment below."
FY 2009,8/21/2009,8/17/2009,"Jim's Auto Service, L.L.C. Lake City, FL 32025","Victim was installing a ceiling light from a ladder and received an electrical shock from the light wiring. He fell 10 feet to the shop floor, stiking objects in the repair bay on his way down."
FY 2009,8/21/2009,8/17/2009,"Trinity Yachts, LLC. Gulfport, MS 39503",Victim was struck on the head by a traveling block of a ship-based crane.
FY 2009,8/21/2009,8/17/2009,"Walt Disney World Co. Lake Buena Vista, FL 32830","Victim was performing tumbling and roll movements, made contact with another employee and afterwards exhibited difficulty breathing."
FY 2009,8/21/2009,8/18/2009,"Boring &Tunneling Co. of America Houston, TX 77054",Victim was 140 feet inside a tunnel adjusting openings when the tunnel became filled with water. Victim drowned.
FY 2009,8/21/2009,8/18/2009,"Brock & Sons Construction Cincinnati, OH 45227",Victim was in a man-lift and was electrocuted.
FY 2009,8/21/2009,8/18/2009,"Delta Demolition, Inc. Chicago, IL 60616","Victim was driving a skid steer loader from a dumpster, suspended by a crane, at the 7th floor level of a building being demolished. He put the loader into reverse causing the suspended dumpster to swing away from the building, which resulted in the skid steer loader being thrown from the dumpster, falling to the ground below."
FY 2009,8/21/2009,8/18/2009,"Direct TV Home Service Inc. Eldrige, AL 35554","Victim was installing a new cable TV. While crawling under the house, came in contact with a bare wire, and was electrocuted."
FY 2009,8/21/2009,8/18/2009,"Metals USA - Royal Aluminum Groveland, FL 34736","Victim was preparing a piece of equipment for maintenance, and collapsed."
FY 2009,8/21/2009,8/18/2009,"Nova Restoration of NY Inc. Brooklyn, NY 11215",Victim fell five stories from a 2-point suspended scaffold after the cable broke.
FY 2009,8/21/2009,8/19/2009,"Denny Hornbeck Construction University City, MO 63130","Victim was on a ladder changing a light bulb, and fell."
FY 2009,8/21/2009,8/19/2009,"Fleek Farms, Inc. Celina, OH 45822","Victim was operating a forklift. The forklift turned, tipped over, and pinned the victim."
FY 2009,8/21/2009,8/19/2009,"LTD Lanscaping and Supplies, Inc. Houston, TX 77036",Victim was blowing leaves and debris. The leaf blower he was using contacted an air conditioning unit. Victim was electrocuted.
FY 2009,8/21/2009,8/20/2009,"Master Mechanical Services, Inc. Hinleah, FL 33012",Victim was performing welding operations and was electrocuted.
FY 2009,8/21/2009,8/20/2009,"U.S. Forest Service, Wallowa Whitman Nat. Forest Baker City, OR 87814",Victim was preparing a hover hookup and was struck by a snag or tree that had been dislodged b a helicopter rotor wash.
FY 2009,8/21/2009,8/20/2009,"U.S. Forest Service, Wallowa Whitman Nat. Forest, Baker City, OR 87814",Victim was preparing a hover hookup and was struck by a snag or tree that had been dislodged b a helicopter rotor wash.
FY 2009,8/28/2009,8/12/2009,"Heartland Affordable Housing Platteville, WI 53818","Victim was operating a lawn tractor and the tractor tipped over, rolling onto the victim."
FY 2009,8/28/2009,8/13/2009,"Advanced Utility Service, Inc. Sanford, FL 32773","Victim was working in an aerial lift upgrading three phases of an electrical distribution line. He was on the pole during the process of hoisting and moving the existing energized ""A"" phase and contacted energized conductors and was exposed to 7,620-volts of AC voltage. Victim was electrocuted."
FY 2009,8/28/2009,8/15/2009,"C.A. Franc Construction Washington, PA 15301",Victim was installing asphalt shingles and fell 40 feet to the ground.
FY 2009,8/28/2009,8/17/2009,"Ultimate Siding and Gutters, LLC Slidell, LA 70461",Victim was working from a basket lifted up by a rough terrain forklift that tipped over on its side.
FY 2009,8/28/2009,8/21/2009,"Asplundh Tree Expert Company Wilkinsburg, PA 15221","Victim was working in the basket of an articulating truck mounted boom. During movement of the boom, victim was catapulted out of the basket."
FY 2009,8/28/2009,8/21/2009,"Crane and Grain Service York, NE 68467","Victim was assembling a stairway on the outside of a grain bin. He was stepping from the stairs to a metal ladder and suffered an attack, possible electric shock and fell to the ground."
FY 2009,8/28/2009,8/21/2009,"Southeast Coastal Services Gibsonton, FL 33534","Victim was pressure washing a vessel standing on a scaffold 15 to 20 feet, and fell."
FY 2009,8/28/2009,8/22/2009,"Blockbuster Video Jamestown, ND 58401","Victim was working an outdoor sale at a store and was struck by a car, pinning the victim to the building."
FY 2009,8/28/2009,8/22/2009,"Taylor Brothers & Associates, Ltd. Paulding, OH 45879",Victim was performing drywall work and fell 9 feet from a tubular welded scaffold.
FY 2009,8/28/2009,8/24/2009,"Cooperative Producers, Inc. Ruskin, NE 60974","Victim was cleaning out a pit at a grain elevator. He was walking near the unguarded opening and fell through, 15-20 feet, to the bottom of the pit."
FY 2009,8/28/2009,8/24/2009,"Somerset Barn Equipment Canonsburg, PA 15317","Victim was in a 60-foot high silo unclogging a discharge hole. While in the process of drilling a hole and remvoing the pipe, the victim clutched his chest and fell over."
FY 2009,8/28/2009,8/25/2009,"Affordable Fast Gutters LLC Metairie, LA 70001",Victim was moving a ladder and touched the overhead power line with the ladder. He was electrocuted.
FY 2009,8/28/2009,8/25/2009,"Mark Young Construction Corp. Elizabeth, CO 80107",Victim was working from an 8-foot step ladder doing caulking on a ceiling/wall area and fell to the ground.
FY 2009,8/28/2009,8/25/2009,"Tri-State Electrical Contracting Inc. Bay Terrce, NY 11360",Victim was operating a knuckle boom truck and was crushed between the boom and the controls.
FY 2009,8/28/2009,8/26/2009,"ABC Salvage & Scrap Metal, Inc. Little Rock, AR 72210",Victim was struck and pinned by two track-hoes.
FY 2009,8/28/2009,8/26/2009,"Ace Coffee Bar, Inc. Streamwood, IL 60107",Victim was conducting service work on a coke vending machine and was electrocuted.
FY 2009,8/28/2009,8/26/2009,"Disney Stores USA, LLC Round Rock, TX 78864",Victim fell from a 3-step ladder.
FY 2009,8/28/2009,8/27/2009,"Whemco, Inc. (Ohio Foundry Division) Lima, OH","Victim, during a grinding operation, was struck by an exploding grinding wheel."
FY 2009,9/4/2009,8/26/2009,"Dekalb Co. Hwy. Dept., Public Sector, Smithville, TN",Employee was thrown from an asphalt roller while working on a road paving project (possible heart attack instead - more information will be provided after investigation).
FY 2009,9/4/2009,8/26/2009,"UCL, Inc., West Chester, OH 45069",Employee was involved in a bridge blasting and painting operation. Employee was wearing a harness but was not tied off to the horizontal lifeline. Fall from the elevated walkboard resulted in fatal injuries.
FY 2009,9/4/2009,8/27/2009,"Davis Buildings, Stigler, OK 74462","Employee was in the warehouse when a pallet of door panels stacked 15-feet high and weighing 850 lbs fell from the top of the stacked palets, crushing the employee."
FY 2009,9/4/2009,8/27/2009,"Volvo of Savannah, Savannah, GA 31406",Employee was working from a ladder and fell to the ground. Head injuries resulted in a fatality.
FY 2009,9/4/2009,8/28/2009,"JMR Concrete, Brooklyn, NY 11208",Employee was working with a gasoline powered scarifying machine. Probable cause of death was carbon monoxide poisoning.
FY 2009,9/4/2009,8/28/2009,"Konecranes Inc. dba Crane Pro, Henderson, KY","Employee was observed hanging by his harness from the bridge of a ""Kone"" 60-ton crane. After rescue, the coroner reported the cause of death was electrocution."
FY 2009,9/4/2009,8/28/2009,"Pro Elevator Services Inc., Brooklyn, NY 11218","Employee was below the elevator releasing the elevator jaws. The elevator dropped, crushing the employee."
FY 2009,9/4/2009,8/28/2009,"Tredco Tire Services, Elk Grove Village, IL 60007",Employee was installing a new tire. The explosive separation of the and its components resulted in fatal head injuries.
FY 2009,9/4/2009,9/1/2009,"Greenleaf Construction, Inc., Skokie, IL 60077",Employee was engaged in residential roofing work and fell 26 feet to his death.
FY 2009,9/4/2009,9/2/2009,"Coastal Drilling Land Company, Encinal, TX 78019",Employee was struck by a derrick.
FY 2009,9/4/2009,9/2/2009,"Meisenzahl Construction, Co., Naples, NY 14512",Employee operating a skid steer loader on a slope was killed when the skid stree loader rolled over.
FY 2009,9/11/2009,8/13/2009,"Millersburg Area Ambulance Association, Millerburg, PA 17061",Employee fell down the stairs. Stairs did not have a hand rail.
FY 2009,9/11/2009,8/18/2009,"Mariani & Richards, Inc., Pittsburgh, PA 15222",Employee was performing masonry work 250 feet above ground but was not wearing fall protection. Fall to the ground resulted in fatal injuries.
FY 2009,9/11/2009,9/2/2009,"HFM Food Service, HI",The worker was found in the freezer warehouse at forklift operator station.
FY 2009,9/11/2009,9/2/2009,"NYCDOC Rikers Island, East Elmhurst, NY 11370",The worker developed breathing problems. EMS arrived and took the Worker to the hospital. The worker died at the hospital.
FY 2009,9/11/2009,9/3/2009,"Power Piping Company, Clairton, PA 15025","Two employees were working inside a confined space area when an explosion occurred, then a fire. One employee fatality and one employee was hospitalized."
FY 2009,9/11/2009,9/4/2009,"Cross-Roads Asphalt Recycling, Inc., Columbia Station, OH 44028",Employee suffered a fatal heart attack while observing fire fighting activities at the workplace.
FY 2009,9/11/2009,9/4/2009,"Gulf Coast Surveyors, Inc., Port Arthur, TX 77641",Employee was aboard a vessel observing loading the compartment with calcined coke. He tripped over a coaming and struck his head on a vent pipe.
FY 2009,9/11/2009,9/4/2009,"Iowa Select Farms, LLP, Kanawha, IA 50126",Worker was power washing hog crates when he fell to the floor and became non-responsive.
FY 2009,9/11/2009,9/4/2009,"Nicholas Migliaccio, Long Valley, NJ 07853","As a tree limb was being lowered to the ground, the limb struck an employee causing fatal injuries."
FY 2009,9/11/2009,9/4/2009,"Northwest Abatement Services, Inc., Fort Lewis, WA 98433",Employee was found unconscious at the base of a fixed ladder. Employee transported to hospital where he was pronounced dead.
FY 2009,9/11/2009,9/4/2009,"Razban Enterprises dba Dominoes Pizza, Benton, KY 42025","Fatal heart attack. Worker was on a pizza delivery run, when his car ran off the road and struck a tree."
FY 2009,9/11/2009,9/8/2009,"Johnson's Tree Service, Cleveland, TN",Worker was crushed by a truck when it fell over on him while lowering a cut tree with the boom of the truck.
FY 2009,9/11/2009,9/8/2009,"Northland Services, Thorne Bay, AK 99919",Worker was loading containers on a barge and was found crushed between the containers.
FY 2009,9/11/2009,9/8/2009,"Western Engineering Company, Chappell, NE 69129",Employees were working on a road construction project. The back set of duals came off a trailer and struck the employees. One employee fatality and one employee hospitalization.
FY 2009,9/11/2009,9/9/2009,"Fresh Grocer, Drexel Hill, PA 19026","Employee was pulling a pallet. The pallet broke causing the employee to fallbackwards, hitting his head against a metal door."
FY 2009,9/11/2009,9/9/2009,"Huntington Manor FD, Huntington Station, NY 11746",The worker was first on the scene and called the fire department. He walked around the building to assess the situation. The worker collapsed as emergency responders arrived. He was transported to the hospital where he was pronounced dead.
FY 2009,9/11/2009,9/9/2009,"McKenzie Contracting, Mullins, SC 29574",The worker was operating a weed-eater on the side of the highway when he was struck by a car.
FY 2009,9/11/2009,9/10/2009,"Chipco LLC Oil & Gas Company, Londonderry, OH 45647",Employees were shutting down a natural gas well and flushing it with water. They disturbed a pocket of hydrogen sulfide and were overcome by the gas. One employee fatality and two employees were hospitalized.
FY 2009,9/11/2009,9/10/2009,"CMH Moving Inc., Hopkinsville, KY",A cable was hooked to a small trailer that was up against a tree. The trailer started moving and the Worker got between the trailer and the truck and was caught between the two.
FY 2009,9/18/2009,9/8/2009,"Transor Inc., Philadelphia, PA 19129",Worker was caught between a dock plate and a truck's trailer.
FY 2009,9/18/2009,9/10/2009,"Atlas SIgn, Houston, TX 77036",Worker was making a connector from a store sign to a breaker panel and was electrocuted.
FY 2009,9/18/2009,9/11/2009,"Outdoor Creations Landscape & Design, McGregor, IA 52157",The Worker was pinned under a construction trailer while working for Outdoor Creations Landscaping & Design. The tandem axle trailer was parked on a slight incline and began to roll backwards at some point pinning the Worker between the tires of the two axles.
FY 2009,9/18/2009,9/12/2009,"Edgewater Hotel & Casino, Laughlin, NV 89028",The Worker was found on the kitchen floor of the Edgewater Hotel & Casino. The Worker told a co-worker that he had collapsed on the floor. The co-worker went for help and when he returned the Worker was not responding. Attempts were made to revive him but he never responded.
FY 2009,9/18/2009,9/12/2009,"IBT, Inc., Merriam, KS 66203","Worker was standing on a scissor lift taking inventory and fell 5 feet, hitting his head on the cement below."
FY 2009,9/18/2009,9/13/2009,"Tony's Construction Service, Inc., Raleigh, NC",Worker was demolishing a concrete block wall when the wall collapsed striking the Worker resulting in crushing injuries which resulted in the fatality.
FY 2009,9/18/2009,9/14/2009,"Earth Words Solutions, WY",During culvert removal preparations the Worker placed himself in an excavation with no cave-in protection. The Worker was killed when a cave-in occurred.
FY 2009,9/18/2009,9/14/2009,"Gordon Bennett Painting Inc., Whitehouse Station, NJ 08889",Worker fell through a skylight.
FY 2009,9/18/2009,9/14/2009,"Issaquah Highlands Recreation Club, Issaquah, WA 98027",Worker died as a result of being struck by a dead alder tree.
FY 2009,9/18/2009,9/14/2009,"S & S Communication Specialists Inc., Wet Plains, MO 65775",Worker during the erection of a communication tower fell 325 feet.
FY 2009,9/18/2009,9/14/2009,"Scandrill, Inc., Logansport, LA 71049","Worker was struck by a pipe, knocked under a V-Door and fell through the V-Door to a catwalk 20 feet below."
FY 2009,9/18/2009,9/14/2009,"Terral Reverservice, Inc., Lake Providence, LA 71254","Worker was on a platform that collapsed, falling 25 feet."
FY 2009,9/18/2009,9/15/2009,"Commercial Brick Corporation, Wewoka, OK 74884",Worker was reaching in to straighten up brick that had fallen over to one side for the setting head and was caught between the brick and the setting head.
FY 2009,9/18/2009,9/15/2009,"Joaquin Sierra, Waterloo, IA 50701",The Worker fell and struck his head on cement. He was hospitalized and later passed away from his injuries.
FY 2009,9/18/2009,9/15/2009,"Myles Construction Company, Inc., Hopkins, SC 29061",The Worker was standing on an elevated template made of steel. The bottom cross brace of the lead struck and pinned the Worker's head against an existing pilling resulting in death.
FY 2009,9/18/2009,9/15/2009,"Priola Construction Corporation, Lake Charles, LA 70605","Employees were attempting to raise a 14 x 26 framed wall by hand and the wind increased. The wall fell, crushing the Worker and hospitalizing another employee."
