Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,
FY 2012,2/11/2012,2/9/2012,"Summers-Taylor Inc., Kingsport, TN 37660",Worker was struck and killed by a vehicle while carrying equipment across highway.
FY 2012,2/11/2012,2/10/2012,"Kesmarc LLC, Ocala, FL 32268",Worker treating a horse inside a hyperbaric oxygen therapy chamber was killed when an explosion occurred inside the chamber.
FY 2012,2/18/2012,1/9/2012,"John P. Wood Inc., Cumming, GA 30040",Worker operating a skid steer was killed when a fallen tree pinned him against the seat bar.
FY 2012,2/18/2012,2/8/2012,"Con-Way Southern Express, Columbia, NC 27925",Worker caught between a truck and a loading dock died from injuries.
FY 2012,2/18/2012,2/9/2012,"Omaha Refinishing, Council Bluffs, IA 51501","Worker who was overcome by vapors while refinishing a bathtub, died from asphyxiation."
FY 2012,2/18/2012,2/10/2012,"Fertizona San-Tan, Stanfield, AZ 85712",Worker died from a head injury after falling off a ladder.
FY 2012,2/18/2012,2/10/2012,"Wyoming Valley Pallets Inc., Exeter, PA 18643",Worker was struck by machine and caught in driveshaft of hammermill used to dig frost.
FY 2012,2/18/2012,2/11/2012,"Winsor Acres Inc., Harpursville, NY 13787",Worker was struck and killed by a skid steer bucket.
FY 2012,2/18/2012,2/14/2012,"Ansley Unprocessed Products Inc., Orange Park, FL 32065",Worker was crushed by a bobcat that flipped during a wind gust.
FY 2012,2/18/2012,2/14/2012,"CEMCO Steel, Denver, CO 80204",Worker was caught between a forklift and a coil of steel.
FY 2012,2/18/2012,2/16/2012,"Key Energy Services Inc., Plaza, ND 58771",Worker operating equipment that injected nitrogen into an oil well was found dead.
FY 2012,2/18/2012,2/16/2012,"U.S. Department of Labor -Harpers Ferry Job Corp., Harpers Ferry, WV 25425",Worker fell to the floor.
FY 2012,2/25/2012,2/7/2012,"Great White Pressure Pumping, Garden City, TX 79739",Worker performing pre-fracking operations was struck and killed when a pipe exploded under pressure.
FY 2012,2/25/2012,2/8/2012,"Redmond Construction Inc., Bernard, IA 52032",Worker died from head injuries after falling 15 feet while doing construction work.
FY 2012,2/25/2012,2/17/2012,"US Airways Group Inc., Phoenix, AZ 85034",Worker was crushed between two vertically moving conveyor belts.
FY 2012,2/25/2012,2/18/2012,"Duphil Construction, Orange, TX 77632",Worker was crushed when a load on a forklift fell.
FY 2012,2/25/2012,2/18/2012,"Smithfield Packing Company Inc., Clinton, NC 28328",Worker emptying waste water sludge into a tanker truck died from exposure to toxic gas.
FY 2012,2/25/2012,2/19/2012,"Southern Metals Recycling Inc., Savannah, GA 31405",Worker using knife to cut wire cut his finger. He fainted and later died from head injuries after falling to concrete floor.
FY 2012,2/25/2012,2/19/2012,"Stevens Pass Mountain Resort, Skyomish, WA 98288",Worker participating in a video shoot at a ski resort was killed during an avalanche.
FY 2012,2/25/2012,2/20/2012,"CSI Acquistion Co., LLC dba Crane Service Inc., Three Rivers, TX 78022",Worker died when caught between a tractor and a trailer while hooking them together.
FY 2012,2/25/2012,2/20/2012,"Win-Sons Poleline Construction, Watonga, OK 73040",Worker replacing lightning arresters on electrical lines was electrocuted after touching an energized line.
FY 2012,2/25/2012,2/21/2012,"Ferman BMW of Palm Harbor, Palm Harbor, FL 34684",Worker died after falling out of a golf cart.
FY 2012,2/25/2012,2/22/2012,"Arden and Howe Car Wash Inc., Sacramento, CA 95825",Worker was struck and killed by a vehicle exiting the car wash.
FY 2012,2/25/2012,2/22/2012,"Renner Construction, Palmetto, GA 30268","Worker performing residential construction died when he fell off the roof, landing on the lower deck."
FY 2012,2/25/2012,2/23/2012,"Neo Corporation, Gatlinburg, TN 37738",Worker was working adjacent to an embankment when it collapsed.
FY 2012,2/25/2012,2/23/2012,"Walmart, Streetsbooro, OH 44241",Worker unloading a general merchandise truck died from apparent heart attack.
FY 2012,3/3/2012,2/2/2012,"Southland Tube Inc., Birmingham, AL 35234","Worker loading steel coils onto an uncoiler died after being found with his head caught between 14,000-pound coils."
FY 2012,3/3/2012,2/17/2012,"Jackson Pipe & Steel, Leary, TX 75503",Worker operating a jib crane was killed when the steel column supporting the crane fell off its support base causing the column and crane to collapse on him.
FY 2012,3/3/2012,2/21/2012,"Brunner Equipment LLC, Elkin, NC 28621",Worker was killed when a hydraulic lift fell on him.
FY 2012,3/3/2012,2/21/2012,"W.A. Felix Builders, Honolulu, HI 96821",Worker died from falling debris while working in a trench.
FY 2012,3/3/2012,2/22/2012,"AB Construction Inc., Dallas, GA 30157",Worker wearing a horizontal lifeline that was connected to an aircraft hangar under construction was killed when the building collapsed.
FY 2012,3/3/2012,2/22/2012,"Alabama Forklift & Repair Inc., Clanton, AL 35045",Worker trying to remove the oil filter from underneath a forklift was killed when the jack used to elevate the forklift fell on him.
FY 2012,3/3/2012,2/23/2012,"Alltex Steel Inc., Sealy, TX 77474","Worker inside of a scissor lift died when trusses hit the lift, tipping it over."
FY 2012,3/3/2012,2/23/2012,"Best Foam, Sherman, MS 38869",Worker operating a compactor machine used to pack together cut farm crops died after being caught inside the machine.
FY 2012,3/3/2012,2/23/2012,"Roberson Construction & Land Development, Inc., Gatlinburg, TN 37738",Worker was asphyxiated when an unshored wall collapsed while he was cutting rebar inside of a basin.
FY 2012,3/3/2012,2/27/2012,"Clanton Masonry, Atlanta, GA 30329","Worker standing on a scaffold platform was killed when a forklift hit the platform, which then hit a building under construction. The worker fell and the building collapsed on him."
FY 2012,3/3/2012,2/27/2012,"CM Joslin Company Inc., Cleveland, TX 77327",Worker helping to cut down trees was struck and killed by a 55-foot tree being cut by another worker.
FY 2012,3/3/2012,2/28/2012,"Graftech International, Anmoore, WV 26323",Worker died from abdominal wounds when a part from a metal-cutting machine struck him.
FY 2012,3/3/2012,2/28/2012,"Jennings Farms, Inc., LaVergne, TN 37086",Worker died after being pinned under the front tire while attempting to stop an unattended moving tractor.
FY 2012,3/3/2012,2/29/2012,"Elite Pipeline Services, Odessa, TX 79764",Four workers were hospitalized when a flash fire occurred while they cut bolts off an abandoned pipeline.
FY 2012,3/3/2012,2/29/2012,"Flatrolled Steel Inc., Houston, TX 77078",Worker died from injuries when a rail car cover struck his head and crushed his chest.
FY 2012,3/3/2012,2/29/2012,"Iron Boss Inc., Houston, TX 77056",Worker putting steel I-beams on blocks was killed when a beam struck his head and chest.
FY 2012,3/3/2012,3/1/2012,"White Hawk Engineering and Design, Kingfisher, OK 73750",Worker surveying a wheat field was struck and killed by a train as he crossed a railroad track.
FY 2012,3/3/2012,3/2/2012,"Ohio American Water, Tiffin, OH 44883",Worker was struck and killed by a vehicle while operating a water valve.
FY 2012,3/3/2012,3/2/2012,"Stein Inc., Ashland, KY 41101",Worker performing machine maintenance was crushed between a conveyor belt and machine frame after an unexpected start-up.
FY 2012,3/10/2012,12/4/2011,"Durhamtown Plantation Sportsman Resort, Union Point, GA 30669",Worker operating a bobcat at a recreational resort died when a tree limb pierced a main vein/artery.
FY 2012,3/10/2012,2/27/2012,"Border Bin Erection LLC, Kerkhoven, MN 56252",Worker was struck by grain-bin jack.
FY 2012,3/10/2012,2/28/2012,"Allied Waste Services of North America LLC, Bensenville, IL 60105",Worker loading a dumpster on a truck at a waste services facility was found pinned between the truck and rail system.
FY 2012,3/10/2012,3/2/2012,"Frontier Drilling LLC, Palermo, ND 58769","Worker performing piping work died from injuries sustained when his life line broke, causing him to fall 75 feet."
FY 2012,3/10/2012,3/2/2012,"Koswire Inc., Flowery Branch, GA 30542",Worker operating a metal wiring machine was killed when he reached into the machine and was pulled in.
FY 2012,3/10/2012,3/2/2012,"San Saba Pecan, Harlem, GA 30814",Worker installing a new compressed air pipe was killed when the pipe exploded and struck his head.
FY 2012,3/10/2012,3/3/2012,"Tire Centers LLC, Decatur, AL 35601",Worker repairing an off-road tire was killed when the multi-piece rim exploded and struck him.
FY 2012,3/10/2012,3/6/2012,"Berlanga General Painting, Eagle Pass, TX 78852",Worker using an aerial lift to paint air ducts died after falling nearly 30 feet from a catwalk.
FY 2012,3/10/2012,3/6/2012,"Epstein Construction Inc., Chicago, IL 60661",Construction manager driving his truck on worksite suffered an apparent heart aneurism causing him to lose control of vehicle and strike a piece of construction equipment.
FY 2012,3/10/2012,3/6/2012,"National Steel City LLC, Calvert, AL 36513",Worker installing duct work in building under construction died after falling 60 feet.
FY 2012,3/10/2012,3/7/2012,"Sieveking Inc., Hazelwood, MO 63042",Worker using a portable ladder to hook a hose to a fuel tank truck died after falling 10 feet off the ladder to pavement.
FY 2012,3/10/2012,3/8/2012,"Nugent's Tree Service Inc., Massapequa, NY 11758",Worker died after falling while trimming trees.
FY 2012,3/17/2012,2/24/2012,"Worldwide Technologies GPA, Franklin, KY 42134",Worker in a tool manufacturing facility broke his neck when he was pulled into a machine used to rotate and shape metals.
FY 2012,3/17/2012,2/27/2012,"Gulf Equipment Corporation, Auburn, AL 36849",Worker performing duties inside a highway construction zone was struck and killed by a passenger vehicle.
FY 2012,3/17/2012,2/29/2012,"B&B Well Drilling, Laton, CA 93242",Worker at an oil rig was killed when a 300-pound clamp that he tried to attach to a well drilling machine fell on him.
FY 2012,3/17/2012,3/6/2012,"J.V. Industrial Companies Ltd., Memphis, TN 38109","One worker was killed, two were burned, when a gas pipe they were working on exploded."
FY 2012,3/17/2012,3/7/2012,"Neftail Lawn Care, Coral Gables, FL 33156",Worker using an extended saw to cut down tree palms was electrocuted when the palm swayed and touched a power line.
FY 2012,3/17/2012,3/9/2012,"Arsham Metal Industries Inc., Houston, TX 77041","One worker was killed, two injured, when a stack of 1,400-pound metal casting molds fell on top of them while they were on break inside an aluminum and metals facility."
FY 2012,3/17/2012,3/10/2012,"Survey Solutions Inc., St. Clair Shores, MI 48081",Worker inside a roadway work zone was struck and killed by a vehicle.
FY 2012,3/17/2012,3/11/2012,"Capital City Cab Service, Steelton, PA 17113",Cab driver was shot and killed.
FY 2012,3/17/2012,3/12/2012,"Affiliated Machinery Inc., Pearland, TX 77581",Worker using a forklift to move machinery died after becoming pinned between the forklift and the pallet rack.
FY 2012,3/17/2012,3/12/2012,"Children's Hospital & Health System, Milwaukee, WI 53226",A housekeeping employee was found on the bathroom floor: possible heart attack.
FY 2012,3/17/2012,3/12/2012,"Pace Residential LP, Houston, TX 77042",Worker making repairs around a sky light at a residential facility died after falling 22 feet through the skylight.
FY 2012,3/17/2012,3/13/2012,"Amerilam Supply Group, Knoxville, TN 37918",Worker was struck and killed by a delivery truck while crossing the road to get to the company warehouse.
FY 2012,3/17/2012,3/13/2012,"Eberts Electric Inc., Amherst, NY 14226",Worker replacing a device that limits the amount of current in an electrical circuit was electrocuted after touching a live electrical component.
FY 2012,3/17/2012,3/14/2012,"Maury County Highway Dept., Columbia, TN 38401",Worker on a highway construction site died after falling 40 feet from an aerial boom that broke from the aerial lift truck.
FY 2012,3/17/2012,3/14/2012,"Tyson Fresh Meats Inc., Dakota City, NE 68731",Worker repairing an adjustable lift platform inside a meat packing facility was crushed when the chain holding the platform broke.
FY 2012,3/17/2012,3/15/2012,"Berkeley Forge & Tool Inc., Berkeley, CA 94710",Worker at a tool manufacturing facility was killed when a piece from a pneumatic grinder he was welding struck his head.
FY 2012,3/17/2012,3/15/2012,"Kelley Bean Company Inc., Brush, CO 80723",Worker was engulfed after standing on a pile of beans at a bean plant.
FY 2012,3/24/2012,2/4/2012,"Conagra Foods Lamb Weston Inc., Connell, WA 99326",Worker at a frozen food manufacturing facility died after performing waste water treatment operations.
FY 2012,3/24/2012,2/14/2012,"Richard Knight, White Swan, WA 98952",Worker was struck and killed by a large alfalfa bale.
FY 2012,3/24/2012,2/22/2012,"Danny Mallard, Whitesboro, TX 76273",Worker installing an advertising billboard died after falling 30 feet.
FY 2012,3/24/2012,2/22/2012,"Port Newark Container Terminal LLC, Newark, NJ 07114",Worker at a container terminal died after being caught between two cargo containers.
FY 2012,3/24/2012,2/24/2012,"Equipos de Bequeron, Las Piedras, PR 00771",Worker was thrown from a truck and killed when equipment the truck was carrying caused the truck to crash.
FY 2012,3/24/2012,3/1/2012,"Professional Roofing Services Inc., Ortonville, MI 48433",Worker performing roofing activities was electrocuted while moving a ladder that touched an overhead power line.
FY 2012,3/24/2012,3/4/2012,"JM Manufacturing Inc., Umatilla, OR 97882",Worker performing maintenance at a pipe fitting manufacturer was killed when a 396-pound plastic pipe fell on him.
FY 2012,3/24/2012,3/6/2012,"Daniel Smith, dba Smith Logging, Holly Pond, AL 35083",Worker performing logging operations died from head injuries after being struck by a tree.
FY 2012,3/24/2012,3/9/2012,"Peninsula Sanitary Service Inc., Stanford, CA 94305",Worker on trash collection route was struck by unattended trash truck after exiting the truck to stop a dumpster from rolling down the street.
FY 2012,3/24/2012,3/13/2012,"Shelter Design and Construction, Lakeway, TX 78734",Worker repairing a second-floor window died after falling 11 feet to the concrete slab.
FY 2012,3/24/2012,3/16/2012,"Oscar's Painting, Rancho Cucamonga, CA 91730",Three workers painting inside a facility were found dead from carbon monoxide poisoning after a gasoline-powered air compressor was running without fuel.
FY 2012,3/24/2012,3/19/2012,"D & E Tree Service, Scio, OH 43988","Worker trimming trees from inside a truck's elevated bucket was killed when the bucket fell, crushing him between it and the truck's cab."
FY 2012,3/24/2012,3/20/2012,"Brantec Packaging Machinery Corp., Fort Mill, SC 29715",Worker at a packaging manufacturer was struck and killed by a forklift.
FY 2012,3/24/2012,3/20/2012,"D & K Logging Inc., Danville, WV 25053",Worker trimming an oak tree was killed when another uprooted tree fell on him.
FY 2012,3/24/2012,3/20/2012,"Donner Plumbing and Heating Inc., Portales, NM 88130","Worker for a plumbing and heating company who was unbolting equipment attached to a hoist was killed when the hoist frame collapsed, pinning the worker between the framing."
FY 2012,3/24/2012,3/20/2012,"Genpak LLC, Columbus, OH 43228",Worker at a packing and crating facility who was cleaning a machine used to make rolls of plastic was killed after being pulled into the machine.
FY 2012,3/24/2012,3/20/2012,"OGE Red Bud Power Plant, Luther, OK 73054",Worker tightening bolts on a steam drum died from blunt force trauma and burns when increased pressure caused drum to explode.
FY 2012,3/24/2012,3/20/2012,"Rayson Logging, Dundee, OH 44624",Worker performing logging operations was struck and killed by a tree.
FY 2012,3/24/2012,3/20/2012,"Suderman Stevedore Inc., Galveston, TX 77550",Worker was found deceased in a restroom.
FY 2012,3/24/2012,3/20/2012,"Valsala Inc., Paw Paw, IL 61353",Worker installing a sensor on the highway was struck and killed by a semi-truck.
FY 2012,3/24/2012,3/23/2012,"Harrington Plastics, Chino, CA 91710",Worker delivering loads of fiberglass was killed when a 420-pound load struck him on the head and landed on his chest.
FY 2012,3/24/2012,3/23/2012,"Kachur Tree Service, South Bend, IN 46637",Worker was struck on the head and killed by a falling tree limb that was cut by another worker.
FY 2012,3/24/2012,3/26/2012,"Gilley Construction Inc., Manchester, TN 37355",Worker died from an apparent drowning after falling from a barge into the water.
FY 2012,3/31/2012,2/8/2012,"Serra Stone Corp., Bethesda, MD 20816",Worker at a stone products manufacturer who was attempting to enter his work vehicle died when he was pinned against a brick wall after the truck rolled.
FY 2012,3/31/2012,2/13/2012,"Southern Management Corp., Towson, MD 21204","Worker for a management facility who was operating a car lift died when the carriage came out of the track and flipped over, ejecting the worker down a 20 foot shaft."
FY 2012,3/31/2012,2/15/2012,"Mad River Glen Ski Area, Waitsfield, VT",A ski instructor at a ski resort died after becoming stuck in a wall opening.
FY 2012,3/31/2012,2/23/2012,"FM Property Services, Union, NJ",Worker died after falling eight feet while installing ceiling tiles from a ladder.
FY 2012,3/31/2012,3/13/2012,"Alaska Heliskiing LLC, Hanes, AK 998273",Worker at a snow ski resort was buried under nearly eight feet of snow after an avalanche.
FY 2012,3/31/2012,3/18/2012,"Community Asphalt Corporation, Vero Beach, FL 32967","Worker refueling the company truck slipped and fell to the ground, sustaining rib fractures. He later died from health complications."
FY 2012,3/31/2012,3/19/2012,"Home Goods, Oakdale, MN 55128","Worker at a retail store, setting up a bag holder, died when a metal piece from the holder struck him in the head."
FY 2012,3/31/2012,3/21/2012,"A & D Air Conditioning & Refrigeration Inc., Boca Raton, FL 33432",Worker installing piping and sheet metal to the HVAC system of a restaurant died after falling 40 feet through the building's shaft.
FY 2012,3/31/2012,3/21/2012,"Vermont Electric Cooperative Inc., Johnson, VT 05656",Worker trimming trees was electrocuted after touching a live conductor.
FY 2012,3/31/2012,3/22/2012,"Breeze National Inc., New York, NY 10027",Worker for a trash and junk disposal company was killed when part of a two-story building collapsed.
FY 2012,3/31/2012,3/23/2012,"Burton Hydro-Vac, El Paso, TX 79905",Worker using a vacuum truck to remove water from a hole died after a pipe came loose and hit his head.
FY 2012,3/31/2012,3/23/2012,"Cambelt International, Salt Lake City, UT 84104",Worker was crushed between the hydraulic ram and bullister of a press during maintenance operations.
FY 2012,3/31/2012,3/23/2012,"Troon Golf LLC, Palm Beach Gardens, FL 33418","Worker driving a cart on a golf course drowned when the cart landed in a lake, pinning him underwater."
FY 2012,3/31/2012,3/24/2012,"Daniel Coates Farm, Fuquay Varina, NC 27526",Farm worker was struck and killed when a box of feed stock fell on him.
FY 2012,3/31/2012,3/24/2012,"Fire Brick Engineers Company Inc., Marlon, AL 36756-0670",Worker replacing the lining of a furnace was crushed between the cleaning equipment and wall. Equipment had not been locked out.
FY 2012,3/31/2012,3/24/2012,"Proctor & Gamble Paper Products Co., Mehoopany, PA 18629",Worker was performing maintenance on a paper mill machine was killed when his head became trapped between the oscillating shower head feed pipe and a stationary water return duct.
FY 2012,3/31/2012,3/27/2012,"HD Supply Waterworks, Pineville, NC 28134","Worker for a plumbing supplies company who was loading materials on a flatbed truck died when he fell 4 feet off the truck, and was then struck by a 420-pound pipe."
FY 2012,3/31/2012,3/27/2012,"J & S Industries, Friendswood, TX 77546",Worker trimming trees was electrocuted when his aluminum saw touched a transmission line.
FY 2012,3/31/2012,3/27/2012,"Lockhart Concrete Company, Kent, OH 44240",Worker at a concrete manufacturing facility was crushed between a precast concrete slab and excavator.
FY 2012,3/31/2012,3/28/2012,"Massman Traylor Alberici, A Joint Adventure, East St. Louis, IL 62202","Employee was working in an aerial lift over a river when a steel pile fell and struck the boom of the lift. The worker, still in the basket, fell into the river and drowned."
FY 2012,3/31/2012,3/28/2012,"Utilicon Solutions LTD, dba Highlines Construction, Wabbaseka, AR 72775",Worker replacing utility poles was electrocuted.
FY 2012,3/31/2012,3/29/2012,"Hathaway Ranch and Oil Museum, Santa Fe Springs, CA 90670","Worker at a ranch museum who was driving a tractor died after it overturned, pinning the worker to the ground."
FY 2012,3/31/2012,3/29/2012,"Modern American Recycling Services Inc., Gibson, LA 70356",Worker cutting a metal platform at a scrap yard died when a partially cut metal piece fell on him.
FY 2012,3/31/2012,3/29/2012,"Tech Systems Contracting, Hayes, VA 23072",Worker performing electrical prep work from a ladder died after falling and hitting his head on concrete floor.
FY 2012,3/31/2012,3/30/2012,"Frit Industries Inc., Walnut Ridge, AR 72476",Worker inspecting the removal of compacted soil from inside a fertilizer mixer died when he became engulfed in raw material after the mixer was turned on.
FY 2012,3/31/2012,3/30/2012,"Huntersville Hardwoods Inc., Huntersville, NC 28070",Worker was struck and killed by a fork truck while walking to a break area.
FY 2012,4/7/2012,3/20/2012,"Brantec Packaging Machinery Corp., Fort Mill, SC 29715",Worker was struck and killed by a forklift while walking through a bay door.
FY 2012,4/7/2012,3/25/2012,"Metropolitan Water Reclamation District, Cicero, IL 60804","Worker making sewer maintenance repairs stepped into a hole, injuring his ankle and back. The worker later died from complications during surgery."
FY 2012,4/7/2012,3/28/2012,"Marine Terminals Corporation - East dba Ports Amer, Savannah, GA 31401",Worker was struck and killed by a forklift at a marine terminal.
FY 2012,4/7/2012,4/1/2012,"Mersen USA St. Mary's PA-Corp., St. Mary's, PA 15857","Worker operating a powered industrial truck died when the raised fork from another truck struck his leg, cutting a main artery."
FY 2012,4/7/2012,4/2/2012,"Metroclean Commercial Building Services, Houston, TX 77067",Worker performing floor wax stripping duties was found deceased.
FY 2012,4/7/2012,4/2/2012,"Rumstick Construction Inc., Rollingstone, MN 55969",Worker performing residential construction died after falling 14 feet from a ladder.
FY 2012,4/7/2012,4/3/2012,"ET&T Corp., Rosedale, MD 21237",Worker making repairs underneath a trailer was killed when the trailer fell on him.
FY 2012,4/7/2012,4/3/2012,"J & E Industries LLC, New York, NY 10001",Worker was killed at a construction site when a crane fell on him.
FY 2012,4/7/2012,4/3/2012,"Mericle Mechanical Inc., Mettler, CA 93313",Worker repairing a HVAC unit on a warehouse roof died after falling 39 feet through a skylight.
FY 2012,4/7/2012,4/3/2012,"Outdoor Advertising Services, Snow Hill, NC 28580",Worker setting up a metal ladder alongside a billboard was electrocuted when the ladder touched a power line.
FY 2012,4/7/2012,4/3/2012,"W G Operating, Electra, TX 76360",Worker servicing an electrical pump was struck and killed by lightning.
FY 2012,4/7/2012,4/4/2012,"Demco Manufacturing Co., Boyden, IA 51234",Worker using a forklift to load grain carts onto a semi-trailer was killed after becoming stuck between the forklift's frame and cage.
FY 2012,4/7/2012,4/4/2012,"Village of Stickney-Public Works, Stickney, IL 60402",Worker riding on the sidestep of a garbage truck died after becoming pinned between the truck and a protruding pipe.
FY 2012,4/7/2012,4/5/2012,"Carolina Farms and Harvesting Inc., Johnston, SC 29832","Two workers installing an irrigation line from a pond to orchard fields were electrocuted when the metal piping contacted an overhead power line. One worker died, the second was hospitalized."
FY 2012,4/7/2012,4/5/2012,"Patterson UTI, Tionesta, PA 16353",Worker connecting pipes at a gas well site was crushed between a beam and pipe.
FY 2012,4/7/2012,4/6/2012,"Rotech Granite Inc., Las Vegas, NV 89109",Worker raised a diamond saw table unit above his head to disassemble it from underneath and was crushed when the table top fell on him.
FY 2012,4/14/2012,3/21/2012,"MidSouth Utility Group Inc., Washington, GA 30637",Worker was crushed in a rollover accident involving a tractor.
FY 2012,4/14/2012,4/2/2012,"A&R Construction, Dickinson, ND 58601","Worker unloading pipes from a flatbed truck was killed when the pipes came loose and hit worker, causing him to fall to the ground."
FY 2012,4/14/2012,4/2/2012,"Eldesisca Services Inc., Doral, FL 33172",Worker painting a warehouse building roof died after falling 35 feet through a skylight.
FY 2012,4/14/2012,4/2/2012,"Progressive Products and Service, Gulfport, MS 39505",Worker making repairs to a boat died after falling 12 feet from the boat's deck.
FY 2012,4/14/2012,4/3/2012,"Spectrum Painting, San Antonio, TX 78216","Worker was found laying semi-conscious, three feet from a ladder. He later died at the hospital."
FY 2012,4/14/2012,4/6/2012,"A-1 Property Services Group Inc., Doral, FL 33122",Worker painting a roof died after falling 25 feet through a skylight.
FY 2012,4/14/2012,4/6/2012,"Looks Great Services of MS Inc., Sumrall, MS 39482-3658",Worker was performing tree trimming and was struck by a falling tree.
FY 2012,4/14/2012,4/9/2012,"Omega Protein, Moss Point, MS 39562",Worker at a seafood plant was killed when he was caught in a conveyor used to move liquids and grain materials.
FY 2012,4/14/2012,4/9/2012,"S & J Construction Co. Inc., Chicago, IL 60633",Worker was performing steel erection activities and was crushed by a steel beam.
FY 2012,4/14/2012,4/10/2012,"274 East Memorial LLC, Hagerstown, MD 21740",Worker on the back of a small vehicle used for hauling trash died from injuries after he was thrown from the vehicle when it made a turn.
FY 2012,4/14/2012,4/10/2012,"Harlan Global Manufacturing, Kansas City, KS 68115",Worker installing an axle underneath a tractor was killed when the axle fell on his head.
FY 2012,4/14/2012,4/10/2012,"Potomac Abatement Inc., Silver Spring, MD 20910",Worker for an environmental hazards solutions company died after falling 10 stories from a self-lifting scaffold.
FY 2012,4/14/2012,4/11/2012,"NC Dept. of Public Safety, Spruce Pine, NC 28777",Worker sustained a fatal head injury after falling down stairs.
FY 2012,4/14/2012,4/11/2012,"One Source Industrial, Big Spring, TX 79720",Worker was struck and killed by a train while driving a vacuum truck across railroad tracks.
FY 2012,4/14/2012,4/11/2012,"Purdy Concrete Inc., Lafayette, IN 47909","Worker inside a swimming pool pit preparing to fill it with concrete was killed when the cement truck tipped over, and fell on him."
FY 2012,4/14/2012,4/11/2012,"State of Oregon State Hospital, Salem, OR 97301",Worker attempting to restrain a patient collapsed and died from apparent natural causes.
FY 2012,4/14/2012,4/12/2012,"TN Aluminum Processors Inc., Mt. Pleasant, TN 38474",Worker loading aluminum into a shredder was killed after being pulled into the machine.
FY 2012,4/14/2012,4/13/2012,"Shamrock Foods, Albuquerque, NM 87120",Worker at a food processing facility was killed when an elevated docking board used to fill the gap between a trailer and loading dock fell and struck his head.
FY 2012,4/21/2012,11/17/2011,"Dragados USA/Judlau, New York, NY 10017",Worker using a concrete sprayer during tunnel repairs was struck and killed by falling concrete.
FY 2012,4/21/2012,2/10/2012,"Star Wars Technology Systems Inc., New York, NY 10007",Worker installing heat control cabling died after falling off a ladder and hitting his head on the concrete floor.
FY 2012,4/21/2012,3/14/2012,"Premier Precision Group-Sternel, Plymouth, MN 55441",Worker performing painting services died from cardiac arrest.
FY 2012,4/21/2012,3/30/2012,"ABM Security Services, Cactus, TX 79013","Worker monitoring a gate while unloading cattle was killed when a male cattle charged the gate, causing the gate to hit the worker."
FY 2012,4/21/2012,4/2/2012,"Santa Barbara Historical Museum, Santa Barbara, CA 93101",Worker suffered fatal head injuries after falling down 20 steps.
FY 2012,4/21/2012,4/5/2012,"Verallia Glass Containers LLC, Simsboro, LA 71275",Worker at a glass container warehouse was struck and killed by a forklift while stacking products.
FY 2012,4/21/2012,4/9/2012,"Doyon Drilling Inc., Prudhoe Bay, AL 99734",Worker performing rig operations offshore died after he was caught between a pipe elevator support and a generator room wall.
FY 2012,4/21/2012,4/9/2012,"Ferreteria Maderas 3C, San Juan, PR 00920",Worker in a warehouse shipping and receiving area was struck and killed by a vehicle.
FY 2012,4/21/2012,4/9/2012,"Village of Romeoville- Public Works, Romeoville, IL 60446",Worker was struck and killed by a public works vehicle.
FY 2012,4/21/2012,4/9/2012,"Yorba River Inc. dba Pro-Towing, Chino, CA 91710",Worker performing maintenance on a tow truck was killed when he was hit and dragged by the moving truck.
FY 2012,4/21/2012,4/11/2012,"Roggen Farmers Elevator Association, Roggen, CO 80652",Worker loading a large empty sila plastic bag into a mechanical device died when his body became caught in the bagging mechanism.
FY 2012,4/21/2012,4/13/2012,"Savanna Auto Care, Newark, DE 19702","Worker on top of a lift gate while repairing a truck's hydraulic pump was killed when the pump turned on and the gate lifted, pinning the worker between the gate and the truck."
FY 2012,4/21/2012,4/13/2012,"Svensk Management Inc., DBA Advanced Pools, Lauderdale Lakes, FL 33067",Worker died after falling while walking down a set of stairs.
FY 2012,4/21/2012,4/14/2012,"Knox Swan & Dog LLC, North Barrington, IL 60010","Worker patrolling a residential community pond while inside a kayak was attacked by swans, causing him to fall in the water and drown."
FY 2012,4/21/2012,4/16/2012,"Precision Erection Company, Fort Rucker, AL 36362",Worker performing new construction was struck and killed by a collapsing steel structure.
FY 2012,4/21/2012,4/16/2012,"Walsh Construction, Indianapolis, IN 46241","Worker building a barrier wall was crushed when an excavator backed up, pinning the victim between the machine and a wall."
FY 2012,4/21/2012,4/18/2012,"Hansen Design Specialty Flooring Inc., Draper, UT 84020",Worker was struck and killed by a vehicle while performing maintenance in a storm drain.
FY 2012,4/21/2012,4/18/2012,"Lewis Nursery and Farms Inc., Rocky Point, NC 28457",Worker was killed after his leg became caught in coiled rope that was being pulled onto a post by a spooling machine.
FY 2012,4/21/2012,4/19/2012,"Erosion Control Applications Inc., Hinkley, CA 92347",Worker using a bobcat and boom lift to remove an aluminum tube that was stuck inside a liner roll died from head injuries when he became pinned between bobcat and its frame.
FY 2012,4/21/2012,4/19/2012,"OFC Transport, Wilmington, CA 90744",Worker refueling his truck was killed when the truck moved forward and rolled over him.
FY 2012,4/21/2012,4/20/2012,"Key Energy Services Inc., Fellows, CA 93224",Worker was struck and killed while trying to stop his truck from rolling downhill.
