Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
9/19/2013,"Lamar Advertising, Gary, IN 46408",One worker electrocuted and two others hospitalized while working on an outdoor billboard.,Fatality
9/19/2013,"R & J Construction Inc., Fort Payne, AL 35967",Worker installing metal roof clips died after falling 28 feet.,Fatality
9/19/2013,"Yager Materials LLC, Owensboro, KY 42302",Worker replacing dump truck axle was crushed when the floor jack failed.,Fatality
9/18/2013,"Kenny Construction Company, Chicago, IL 60618",Worker drowned while relining the inside of a sewer during a heavy rain.,Fatality
9/17/2013,"Avis Car Rental, Grand Junction, CO 81506",Worker driving a rental car shuttle was killed in a vehicle collision.,Fatality
9/17/2013,"Joel Cornelius Enterprises Inc., Harrison, OH 45030",Worker died from fall while conducting repairs to a gutter on a residential house.  ,Fatality
9/17/2013,"Vanderbilt Landscaping LLC, Brownsville, TN 38012",Worker struck and killed by a vehicle while picking up roadside debris.,Fatality
9/16/2013,"C&D Ventures (DBA Gold Coast Dairy), Goleta, CA 93117)",Worker was crushed between truck and loading dock while unloading material.,Fatality
9/16/2013,"Castlewood Consulting LLC, Glen Echo, MD 21812",Worker operating back hoe died after being caught-between the machine and house under construction.,Fatality
9/16/2013,"Distribution Export Logistics Inc., Houston, TX 77043",Worker performing maintenance on an electrical forklift was crushed and killed by the machine's overhead guard and mast. ,Fatality
9/16/2013,"Johnny's Electric, Inc., Fernandina Beach, FL 32034",Electrician working from an aerial lift was electrocuted by an overhead power line.,Fatality
9/16/2013,"SRic-Man Construction Florida, Inc., Miami, FL 33173",Worker struck and killed by a valve assembly.,Fatality
9/15/2013,"Rogers Helicopters Inc., Perryville, AR 72126",Worker electrocuted while servicing transmission lines from a helicopter.,Fatality
9/14/2013,"Caliber Cast Stone, O' FALLON  MO 63366",Worker died after being struck by the cement mixer he was repairing.,Fatality
9/14/2013,"Ravenswood Disposal Service Inc., Chicago, IL 60612",Worker was crushed between a box truck and a front end loader.,Fatality
9/13/2013,"Beyel Bros. Inc., Merritt Island, FL 32952",A deck hand drowned after falling into the water while assisting in securing a tug boat to a barge.,Fatality
9/13/2013,"Contractors Inc., Orange, CA 92879 (vacant building)",Worker electrocuted while working on an electrical panel inside vacant commercial building.,Fatality
9/13/2013,"Formosa Plastics Corporation Texas, Point Comfort, TX 77978",Five workers were hospitalized for injuries sustained in a flash fire caused by the release of a chemical under pressure.,Catastrophe
9/13/2013,"Nuco 2 Inc., Miami, FL 33126",Worker died after being struck by an SUV.,Fatality
9/12/2013,"Cronin Construction, Oviedo, FL 32765",Worker died after being struck by a vehicle while working on a roadway project.,Fatality
9/12/2013,"GA Paving LLC, Chicago, IL 60621",Worker died after being pulled into the grinding section of an asphalt paving machine.,Fatality
9/12/2013,"Patty?s Forestry Services Inc., Mammoth Lakes, CA 93546",Worker died after being struck by a falling branch while trimming a tree.,Fatality
9/11/2013,"7Joy Process Mechanical Inc., Canastota, NY 13032",Worker welding inside a tank connected to a sewage treatment facility died in an explosion..,Fatality
9/11/2013,"Bethel Frame & Wheel Alignment Service LLC, Bethel, OH 45106",Worker performing brake repairs died after falling from a step ladder.,Fatality
9/11/2013,"Color Dynamics Inc., Honolulu, HI 96822",Worker died after falling 50 feet from a suspension scaffold.,Fatality
9/11/2013,"Hartin Paint & Filler Corp., Carlstadt, NJ 07072",Worker died after being overcome by toluene vapor while taking solvent level measurements from an outdoor storage tank. ,Fatality
9/11/2013,"Lyford Gin Association, San Benito, TX 78586",Worker performing trash removal died after falling from tractor and being run over.,Fatality
9/11/2013,"S K Lumber, Cochranton, PA 16314",Forklift operator was killed when the lift went off a dock and rolled onto him.,Fatality
9/11/2013,"TJ Lyle & Company, Rome, GA 30161","Worker cutting a water pipe with a chain saw died after the saw kicked back and cut his neck, severing arteries. ",Fatality
9/11/2013,"US Foods, Selem, MO 65560",Worker died after falling from the bumper of a cooler truck.  ,Fatality
9/11/2013,"Westcoast Tree Care Inc., Lake Oswego, OR 97035",Worker died from overexposure to heat while trimming trees.,Fatality
9/10/2013,"Heber Farms, Belleville, IL 62220",Worker died after falling off of a six foot ladder. ,Fatality
