Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
8/6/2013,"County Fire & Rescue, LLC, Merlin, OR 97532",Rescue worker killed when boat rolled over onto him.,Fatality
8/6/2013,"Hamlet Underground Inc., The Villages, FL 32159",Worker died after being overcome by fumes while working in a manhole.,Fatality
8/6/2013,"Howell Paving Inc., Wheeler, IL 62479",Worker struck and killed by vehicle while performing road work.,Fatality
8/6/2013,"Lucas Marine Construction LLC, Fort Pierce, FL 34950",Marine construction diver drowned.,Fatality
8/6/2013,"O & G Industries Inc., Stamford, CT 06902",Worker at an asphalt processing plant was struck and killed by a front end loader. ,Fatality
8/6/2013,"Professional Well Services, Cuba, NM  87013",Worker driving pump truck died when the vehicle rolled over.,Fatality
8/6/2013,"Town of Washington Grove, Gaithersburg, MD  20877",Worker struck and killed by falling tree. ,Fatality
8/5/2013,"Agraserv Inc., American Falls, ID 83211",Employee struck and killed a farming combine.,Fatality
8/5/2013,"California Box Company, Santa Fe Springs, CA 90670",Worker struck and killed by a motor vehicle while moving motorcycle during work.,Fatality
8/5/2013,"Groh Farms, Fairfield, OH 45014",Worker in a corn storage died after being engulfed in seed. ,Fatality
8/5/2013,"Haverfield Aviation Inc., Ackerly, TX 79713",Two employees suspended from a helicopter while working on power lines were killed when the cable holding them snapped.,Fatality
8/5/2013,"Highline Autosport, Blue Springs, MO 64014",Employee died after being struck by automotive lift.,Fatality
8/5/2013,"Kelley Roofing, Amarillo, TX 79106",Forklift operator unloading roofing materials from a tractor trailer died from injuries after a vehicle collision.,Fatality
8/5/2013,"Steel Dynamics, Columbia City, IN 46725",Worker killed after becoming caught and wrapped around driveshaft.,Fatality
8/4/2013,"MasterBrand Cabinets Inc, Arthur, IL 61911",Worker crushed and killed when an overhead door fell on him. ,Fatality
8/4/2013,"Oliver's Hardware Inc., Sobrante, CA  94803",Worker died from injuries after being stabbed.  ,Fatality
8/3/2013,"Main & Hwy 15 One of a Kind Cleaning & Maintenance Services, Follett, TX 79034",Worker died after being struck in the head by a pipe that fell on him.,Fatality
8/3/2013,"Sage Electric, Burleson, TX 76028",Employee died from head injuries after falling from a ladder while strapping conduit.,Fatality
8/2/2013,"Breaux Unlimited LLC, Gretna, LA 70056",Employee died after falling 25 feet through a skylight while replacing the roof on a building.,Fatality
8/2/2013,"L. Bolt Construction, Evansville, IN 47714",Roofer electrocuted from overhead power wires.,Fatality
8/2/2013,"Norton Creek Farms Inc., Franklin, NC  28734",Worker killed by carbon monoxide while using a forklift to load pallets. ,Fatality
8/2/2013,"Swanson Electric LLC, Aberdeen, SD 57401",Employee died after being thrown from a bucket truck that tipped over while he changed lightbulbs in a parking lot.,Fatality
8/2/2013,"Thuston Construction Company Inc., Alexander, AR 72002",Worker died after falling off a ladder while assessing a building's ventilation.,Fatality
8/1/2013,"Arndt Enterprises Inc., Mt. Vernon, IA 52314",Worker died after falling from a water tower while painting.,Fatality
8/1/2013,"K & D Pipeline Services, Inc., Pasadena, TX 77501","Employee died after being thrown from, then crushed by the tractor he was using to cut grass.",Fatality
8/1/2013,"LGSTX Services, Inc., Wilmington, OH 45177",Employee died after falling off a delivery vehicle and onto the road.,Fatality
8/1/2013,"T & R Painting Specialist, Inc., Sunrise FL 33351",Employee died after an unsecured steel security gate fell over onto an employee while it was being moved.,Fatality
7/31/2013,"Acme Auto Parts Inc., Kankakee, IL 60901",Worker fatally crushed when a vehicle being lifted by a front-end loader fell on him.,Fatality
7/31/2013,"Chain Electric Company, New Orleans, LA 70117","Worker electrocuted after contacting a 7,200-volt line while connecting an overhead power line to a new electrical pole. 

",Fatality
7/31/2013,"Florida Service Painting, Inc., Sarasota, FL 34236",Painter died from injuries after being pinned between aerial lift and eave while positioning the aerial lift. ,Fatality
7/31/2013,"Zaloumis Contracting Services Inc., Scarsdale, NY 10583",Worker repairing telephone lines was killed when his extension ladder was struck by a passing vehicle.,Fatality
7/30/2013,"Delta Sandblasting Co. Inc., Alameda, CA 94501",Employee collapsed and died after performing sandblasting inside a tank on a cargo ship. ,Fatality
7/30/2013,"Delta Sandblasting Company Inc., Alameda, CA  94501",Worker died while performing sandblasting operations inside a ship tank.,Fatality
7/30/2013,"Modern Surfaces Inc., Newport Beach, CA 92660",Worker drowned while repairing tile in a jacuzzi.,Fatality
7/30/2013,"MTD Consumer Group Inc., Martin, TN  38327",Eight workers hospitalized for carbon monoxide exposure when mulitple propane-powered equipment was used to perform building construction and maintenance.,Catastrophe
7/30/2013,"P.K. Moyer & Sons, Inc., Landsdale, PA 19446",Employee died after being struck and killed by a street sweeper during road repaving work.  ,Fatality
7/30/2013,"Wilson Construction Co., Gold Beach, OR 97444",Construction worker killed by electric shock.,Fatality
7/29/2013,"Ferrellgas L.P. Limited Partnership, Tavares, FL 32778","Six employees were hospitalized after a fire and explosion occurred in the inventory area of a propane distributor.
",Catastrophe
7/29/2013,"Gilman Building Products, LLC, Fitzgerald, GA 31750",Worker fatally crushed after being caught between stacks of lumber during forklift operations. ,Fatality
7/29/2013,"River Basin Contracting, Trenton, ND 58853",Employee killed when bulldozer he was operating was struck by an Amtrak train.  ,Fatality
7/29/2013,"Static Oilfield Services Inc, MEDFORD, OK 73759",Employee fatally crushed by bundles of stacked polycoil tubing.,Fatality
7/29/2013,"Suburban Landscape Management, Wichita, KS 67216",Worker struck and killed by passing vehicle while operating a weedeater alongside the road.,Fatality
7/29/2013,"Torrance Casting Inc., La Cross, WI 54603",Worker died after falling into furnace while performing maintenance on it. ,Fatality
7/28/2013,"1706 S. 68th St., West Allis, WI 53214",Worker died after falling from a rig while removing machinery from a foundry.,Fatality
7/28/2013,"Florida Sheriffs Youth Ranches, Inc., Live Oak, FL 32060",Employee died in a traffic accident.,Fatality
7/28/2013,"Pump and Supply LLC, Edmond, OK 73013",Worker electrocuted when energized wires contacted the metal frame of a water pump he was using.,Fatality
7/28/2013,"Shatto Farms, Osborn, MO 64474",Farm employee died at the hospital after apparently being stepped on by a bull. ,Fatality
7/27/2013,"Asplundh, Bethlehem, PA 18018",Worker electrocuted during tree trimming operations when his aerial basket contacted overhead power lines.  ,Fatality
7/27/2013,"Graycor Construction Company Inc., Beachwood, OH 44122","Four workers hospitalized after exposure to mold, other chemicals during a paint remediation project.",Catastrophe
7/27/2013,"Navasota Oil Co., Madisonville, TX 77864",Worker died from head injuries after a vehicular accident. ,Fatality
7/26/2013,"321 Commercial Avenue Super King Sauna NJ, LLC, Park, NJ 07650","Employee found dead inside a granite stone sauna oven area. 

",Fatality
7/26/2013,"Burke L. Lathrop, Tollgate, OR 97759",Worker killed when a truck rolled over onto him.,Fatality
7/25/2013,"Columbia Pipe & Supply Co., Rockford,  IL 61108",Employee crushed when caught between a pipe and the ground while off-loading a trailer.,Fatality
7/25/2013,"J&M Hauling Co. Inc., Evanston, IL 60201",Employee suffered fatal injuries after being struck in the head by a crowbar. ,Fatality
7/25/2013,"James McNally Roofing and Siding, Sandwich, MA 02563",Worker died after falling nearly 40 feet from a roof. ,Fatality
7/25/2013,"Konet Corporation, Vienna, MD  21869",Worker died from a 240-foot fall from a cell tower while adjusting an antenna.,Fatality
7/25/2013,"Patterson-UTI Drilling Company LLC, Houston, TX 77049",Worker died after being pinned between two trucks while preparing to connect a winch line.,Fatality
7/24/2013,"Bridgeport Tank Trucks LLC, Bridgeport, TX 76426",Mechanic killed when residual vapors inside a tanker truck ignited while he was replacing the truck's valve.,Fatality
7/24/2013,"Fontana Wood Products of Oregon Inc.,                                                                 Prineville, OR 97754",Worker was crushed while dismantling parts from iron frame for salvage.,Fatality
7/24/2013,"Hudson River Construction Co. Inc., Wynantskill,  NY 12198",Employee killed when a truck rolled over him while he performed road paving operations. ,Fatality
7/24/2013,"Sergio A Gaytan , Garland, TX 75041",Employee died after falling 25-feet through a roof opening while installing new air conditioner. ,Fatality
7/23/2013,"Cheney Pulp and Paper Company, Franklin, OH 45005",Worker killed when a piece of fabricated steel struck him in the chest as he cleaned excess paper pulp from a digester machine.,Fatality
7/23/2013,"Diaz Construction Co. Inc., Plymouth, MA 02360",Employee fatally crushed when a piece of formwork he was constructing fell on him.,Fatality
7/23/2013,"LCN Holdings Inc., Perry, OH 44081",Worker died after falling backwards from a fork truck while completing tree trimming activities.,Fatality
7/23/2013,"Lien Transportation Company, Aberdeen, SD 57401",Worker struck and killed by a semi-trailer while serving as a spotter at a construction site. ,Fatality
7/23/2013,"Preferred Sandblasting & Painting LLC, Sparta, TN 38583",Worker died from a 30-foot fall when a suspension scaffolding support cable pulled free.,Fatality
7/23/2013,"Western Flyer Express, Inc., Oklahoma City,  OK 73149",Driver died after a PVC pipe rolled off a trailer and struck him.,Fatality
7/22/2013,"Paul Harris Farms Inc., Robersonville, NC 27871",Worker killed after being pulled into the conveyor of a tobacco harvester.   ,Fatality
7/20/2013,"Dukane Precast Incorporated, Aurora, IL 60502",Employee killed while cleaning a cement mixer that activated while the employee was inside.,Fatality
7/20/2013,"Phoenix Rigging & Erecting LLC, Macon, GA 31206",Employee fatally crushed when a portion of a crane fell on him while removing the mast of a latice boom. ,Fatality
7/20/2013,"Whitledge Tree Service LLC, Mount Carmel, IL 62863",Employee struck and killed by tree limb while removing limbs entangled in a telephone line.,Fatality
7/19/2013,"133-25 131 St., South Ozone Park, NY 11420",Employee died after falling from roof while conducting repairs at private residence.,Fatality
7/19/2013,"Bicketts Tilling and Excavation LLC, Owensboro, KY 42302",Worker struck and killed by a falling tree while clearing trees.,Fatality
7/19/2013,"C2R Farms Inc., Hemet, CA 92545",Worker struck and killed by falling planting machine located on a flatbed truck. ,Fatality
7/19/2013,"Cooper Tank & Welding Corp., Brooklyn, NY 11211",Employee died of heat exhaustion while sorting construction debris on a conveyer belt at a concrete recycling plant.,Fatality
7/19/2013,"Logram-Eastern Electric Corporation, Hoboken, NJ 07030",Worker electrocuted while replacing wire from a transformer.,Fatality
7/19/2013,"Lomelino's Repair, Virden, IL 62690",Worker fatally crushed between sheets of steel and a workbench.,Fatality
7/19/2013,"PCS Wireless LLC, Florham Park, NJ 07932",Employee for a wireless provider found dead on the floor of a bathroom being renovated.,Fatality
7/19/2013,"Testwell Craig, Mays Landing, NJ 08330",Employee died from injuries after work vehicle struck a tree.,Fatality
7/18/2013,"Bass Enterprises Production Company, Kermit, TX 79745","Employee killed after falling off a catwalk while testing a tank filled with hydrogen sulfide.

",Fatality
7/18/2013,"Falco Energy Transportation, Watford City, ND 58854",Worker died from possible hydrogen sulfide exposure. ,Fatality
7/18/2013,"Fremont Plastic Products Inc., Fremont, OH 43420",Worker electrocuted while working at a plastics manufacturing facility. ,Fatality
7/18/2013,"Martin Tree Services, Belspring, VA 24058",Worker died from 60-foot fall while performing tree trimming and removal services for a private resident.,Fatality
7/18/2013,"Richard D. Gates, Arkansas City, KS 67005",Worker trampled and killed by cattle being unloaded from semi-truck.,Fatality
7/17/2013,"AERT, Springdale, AR 72764",Worker died after a fireball engulfed the room where he was working inside a composite building materials facility.  ,Fatality
7/17/2013,"Fairfield Contractors,  West Lafayette, IN 47906",Worker killed when run over by a trailer truck within construction zone. ,Fatality
7/17/2013,"Five Star Logging, Woodland, WA 98674                                                                                   ",Worker killed after being struck by a falling cut cedar tree while performing tree operations.,Fatality
7/17/2013,"Premier Coopertive Inc., Sidney, IL 61877",Employee killed after being engulfed by grain while working inside a grain bin.,Fatality
7/16/2013,"Collum Lumber Products, Allendale, SC 29810",Employee electrocuted after the grinding machine he was operating came into contact with power lines.,Fatality
7/16/2013,"Evergreen Lawncare Services, Winchester, VA 22601                                   ",Worker found dead underneath a lawnmower.,Fatality
7/16/2013,"Grismer Tire Company, Dayton, OH 45449",Employee died after being pinned between the knuckle of a bachhoe outrigger and the ground. ,Fatality
7/16/2013,"J M A Roofing, Omaha, NE 68102",Employee died after falling 30 feet while working on a commercial roofing project.,Fatality
7/16/2013,"Shelly & Sands, Columbus, OH 43211",Employee killed after being run over by a dump truck.,Fatality
7/15/2013,"Choice Fasteners LLC, Spring, TX 77380","Worker riding as a passenger on a forklift was killed when the forklift overturned, crushing him.

",Fatality
7/15/2013,"Crosby Plumbing & Water Quinton, VA  23141                         ",Worker died after falling from the second floor stairway of a new home under construction.  ,Fatality
7/15/2013,"Dr. Carey Frix, Henderson, TN 38340 (residential address)",Worker killed after being thrown 20 feet from a manbasket after the machine that the basket was attached to rolled down a hill and struck a tree.,Fatality
7/15/2013,"International Door Inc., North Kingstown, RI 02852",Worker died after receiving several electric shocks from a live voltage source inside a panel.,Fatality
7/15/2013,"Midwest Machinery Company, Howard Lake, MN 55349",Worker fatally crushed by a box of packaged parts while removing banding.,Fatality
7/15/2013,"PPG Industries, Barberton, OH 44203",Worker died after becoming trapped in a winder machine while trying to clear a jam. ,Fatality
7/15/2013,"Tommy M. Castello, Washburn, IL 61570",Two workers drowned after going for a swim to cool off.  ,Fatality
7/12/2013,"BBC Steel Corporation, Canby, OR 97013",Worker crushed when a piece of steel from a press brake fell on him.,Fatality
7/12/2013,"Bridgestone Americas Tire Operations LLC, La Vergne, TN 37086                                          ",Worker died after being found pinned under parts from a tire assembly machine.,Fatality
7/12/2013,"Fuentes Plumbing, Los Angeles, CA 90025",Worker apparently electrocuted while using electric chipping gun to chip concrete inside a 20-foot-deep trench. ,Fatality
7/11/2013,"Blaine Miller Services, Fort Wayne, IN 46845",Two workers killed when struck by semi-truck while repairing a broken down truck on side of highway.,Fatality
7/11/2013,"Consolidated Distributors, Inc. Houston, TX 77018",Employee died from injuries caused by being caught in styrofoam grinder/processor he had been operating.,Fatality
7/11/2013,"Gallo Mechanical, LLC, Metaire, LA 70001",Employee died from heat-related injuries while replacing a water heater in a residential home attic.,Fatality
7/11/2013,"Gillespi Ag Service, Tulare, CA 93274",Worker killed when caught between the carriage and frame of a poly tank carrier.,Fatality
7/11/2013,"Grocery Outlet, Redwood City, CA  94063",Worker fatally crushed inside a compactor/baler. ,Fatality
7/11/2013,"Thomas Tree Service Professionals, Sharpsville, PA 16150",Worker died after being ejected from a bucket truck while trimming and cutting tree limbs.,Fatality
7/10/2013,"Fore Golf Services, Medina, OH 44256",Employee died from electrical shock while working in an excavation.,Fatality
7/10/2013,"Mc Connell Dowell Constructors, Pago Pago, AS 96799",Employee electrocuted when an electrical arc occurred between a power line and crane.,Fatality
7/10/2013,"National Park Service Channel Islands National Park, Ventura, CA 93001",Volunteer worker died after falling from the fixed steel ladder of a pier onto a park service boat. ,Fatality
7/10/2013,"Yoder Lumber Company, Inc., Millersburg, OH 44654",Employee died after falling eight feet from a flatbead truck.,Fatality
7/9/2013,"Fresh Market Inc., Lexington, KY 40502",Worker died after falling from ladder while stocking shelves at market.,Fatality
7/9/2013,"James Mitchell, Nowata, OK 74048",Worker died after falling four stories while painting on a hotel roof.,Fatality
7/9/2013,"MTech Comfort System, Austin, TX 78702",Employee died from apparent electrocution while working on an A/C unit. ,Fatality
7/9/2013,"Superior Group LLC, El Paso, TX 79925",Worker died after being electrocuted while working on light fixtures.,Fatality
7/8/2013,"B & B Tree Service, Bittinger, MD 21522",Tree service worker electrocuted by high voltage power lines.,Fatality
7/8/2013,"Curtis Hoffman Oil LLC, Claflin, KS 67525",Employee died from exposure to hydrogen sulfide gas while working in an underground saltwater disposal system.,Fatality
7/8/2013,"E&W Electrical Solutions LLC, Buchanan, TN 38222",Worker electrocuted while removing 277-volt AC wiring.,Fatality
7/8/2013,"Excell Electric, Irving, TX 75061",Employee died from six-foot fall to concrete after contacting an energized junction box.,Fatality
7/8/2013,"Lovett Inc., Portland, OR 97218",Worker killed after work vehicle's brakes failed causing vehicle to crash through a guardrail and roll down a bank.  ,Fatality
7/8/2013,"Monarch Tower, New Town, ND 58763",Two employees died after falling about 225 feet while performing maintenance on a communication tower.  ,Fatality
7/8/2013,"Myers Pump and Supply, LLC, Claflin, KS 67525",Employee died from exposure to hydrogen sulfide gas while working in an underground saltwater disposal system.,Fatality
7/8/2013,"US Fish & Wildlife Service, Pickstown, SD 57367",Two employees struck and killed by vehicle while they performed field work for fish and wildlife agency.,Fatality
7/8/2013,"Virtexco Corporation , Virginia Beach, VA 23459", Employee died from ruptured spleen after scraping stomach on bar joists while crawling on walk boards in an attic.,Fatality
7/8/2013,"Watson Ag Chemicals, Caruthers, CA 93609",Worker died after being runover by a truck.,Fatality
7/7/2013,"C&R Downhole Drilling, LLC, West Union, WV 26456",Worker testing a well hole was killed when a fire erupted at a nearby deisel-powered water pump. ,Fatality
7/7/2013,"Dan Avila & Sons, Turlock, CA 95307","Worker was shot and killed by co-worker's disgruntled spouse, who was attempting to shoot the co-worker. ",Fatality
7/7/2013,"Nabors Completion and Production Services Company, West Union, WV 26456",Worker testing a well hole was killed when a fire erupted at a nearby deisel-powered water pump. ,Fatality
7/6/2013,"ODW Contract Services, Okmulgee, OK 74447",Worker died from head injuries on his first day on job after his stand-up forklift hit a shelving unit.,Fatality
7/6/2013,"Stewart Industrial Maintenance LLC,  Tell City, IN 47586",Worker killed after he slipped and fell 50 feet from platform used to perform tank maintenance.,Fatality
7/6/2013,"Tulsa Job Corps, Okmulgee, OK 74447",Worker drowned while swimming at Lake Okmulgee.,Fatality
7/5/2013,"Bedford-Carp Construction JV Inc., New York, NY 10004",Employee crushed by pipes that fell from a forklift.,Fatality
7/5/2013,"Cuddy Thomas / Tim's Taxi, Auburn, WA 98002",Worker killed when an alleged drunk driver struck worker's cab. ,Fatality
7/5/2013,"Etchegaray Farms LLC, Richgrove, CA 93215",Worker died from possible heat illness while working at farm.,Fatality
7/5/2013,"Keystone Automotive Industries Inc., Lakewood, NJ 08701",Employee died after falling from a lift in an automotive distribution facility.,Fatality
7/5/2013,"Metra, Chicago, IL 60601",Worker struck and killed by train while performing track maintenance.,Fatality
7/5/2013,"Riverside County FD- Station #35, Thousand Palms, CA 92276                                 ",Emergency rescue worker struck and killed by vehicle while responding to an emergency call on highway ramp.,Fatality
7/5/2013,"Stickfort Construction Corporation, Waterloo, IA 50701",Worker killed after being buried in trench cave-in.  ,Fatality
7/4/2013,"F/V Aleut Sisters, Chignik, AK 99548",Employee died after entering engine space and falling onto rotating propellar shaft of the vessel.  ,Fatality
7/4/2013,"F/V Anna Lane, Homer, AK 99603",Worker killed when he was pulled into an anchor winch after becoming entangled in an anchor wire rope.,Fatality
7/4/2013,"F/V Pauline II, Egeik, AK 99579",Employee died after being trapped in a fire on a marine vessel.,Fatality
7/3/2013,"Badlands Power Fuels LLC, Watford City, ND 58854",Employee died from possible exposure to chemicals while cleaning the inside of a tank.,Fatality
7/3/2013,"Brennan Marine Inc., LA Crosse, WI 54603",Worker dies in tugboat that crashed over the roller gates of a river lock.,Fatality
7/3/2013,"Camp Tawonga United Jewish Community, Groveland, CA 95321","Worker killed when top of oak tree snapped and fell, striking worker's head.",Fatality
7/3/2013,"Haliburton Energy Services, Jacksonburg, WV 26377",Truck driver killed after being pinned between a bulldozer and work truck.,Fatality
7/3/2013,"Midwest Mole Inc., Ordway, CO 81063",Worker struck and killed by a U-shaped metal fastener connected to a pipe line.,Fatality
7/2/2013,"Autoliv ASP, Auroua, CO 80014",Worker electrocuted after making contact with live wire while repairing electrical breaker box.,Fatality
7/2/2013,"Foothill Packing, Five Points, CA 93624                                                                                  ",Worker died from seizure after suffering apparent heat illness while performing farming activities.,Fatality
7/2/2013,"Producers Rice Mill Inc., Stuttgart, AR 72160",Employee died from apparent fall from man lift.,Fatality
7/1/2013,"Easton Coach Company, Allentown, PA 18103",Employee died from head injuries after falling to the ground from the back of bus/van while loading passenger confined to a wheelchair.,Fatality
7/1/2013,"U-Haul Moving & Storage, Fort Smith, AR 72901",Worker died in vehicular accident while moving a cargo truck inside the lot.,Fatality
7/1/2013,"Wing Stop, Oak, CA 94608",Two workers shot and killed at retail store in an apparent robbery.,Fatality
6/29/2013,"Cirque Du Soleil, Las Vegas, NV  89119",Worker died from 94-foot fall when the wire rope broke during a performance.,Fatality
6/28/2013,"Cooper Construction, Yuba City, CA 95993",Worker died from apparent heat stress after suffering a seizure while performing ground preparation.,Fatality
6/28/2013,"Jose Mendoza Gardening, Trabuco Canyon, CA",Worker drowned after falling into swimming pool while performing landscaping services.,Fatality
6/27/2013,"Border State Electric,  Clayton, NM 88415",Worker killed after being involved in a motor vehicle accident.,Fatality
6/26/2013,"Lupe's Tree Service and Landscaping, San Jose, CA  95121",Worker electrocuted when his climbing rope fell onto energized power line.,Fatality
6/25/2013,"John Deere Company, Waterloo, IA 50701",Worker died from head injuries after being struck by powered industrial truck.,Fatality
6/25/2013,"Kevin Miller, Monticello, KY 42633",Worker died after falling from bucket truck while cutting tree.,Fatality
6/24/2013,"Cantril Feed and Grain, Cantril, IA 52542",Worker died after being struck by section of pipe while exiting boom lift that rolled over.,Fatality
6/24/2013,"Chelan View Orchards Inc., Manson, WA 98831","Worker killed when the orchard tractor fell over six-foot enbankment, rolled down hill and caught fire.",Fatality
6/24/2013,"Co-Alliance, Union Mills, IN 46382",Worker killed when an explosion at grain elevator occurred causing worker to fall 100 feet.,Fatality
6/24/2013,"Greathouse Landscape Company Inc., LaVergne, TN 37086","Worker killed when lawnmower overturned, crushing him.",Fatality
6/24/2013,"Krieger Collison Center, Muscatine, IA  52761",Worker died from severe trauma suffered during a tornado.  ,Fatality
6/24/2013,"Municipio de Vieques Sancamiento y Salud, Vieques, PR  00765",Worker struck and killed by a concrete beam that fell when a truck crashed into it.,Fatality
6/24/2013,"NYCDOPR, Staten Island, NY 10305",Worker collapsed and died while pruning hedges. Cause of death under investigation.,Fatality
6/24/2013,"Sam's Gardening, Upland, CA  91789",Worker drowned after falling into pool while blowing leaves in backyard.,Fatality
6/22/2013,"Blue Ridge Cable, Mouthcard, KY 41548",Worker performing landscaping along highway was struck and killed by a motor vehicle.,Fatality
6/22/2013,"Duarte Nursery, Hughson, CA 95326",Worker fainted and later died after complaining of chest pains while performing outside bench irrigation work.,Fatality
6/20/2013,"RNDS, Indianapolis, IN 46241",Worker died after falling 15-feet through skylight during roofing repairs.,Fatality
6/19/2013,"Newtown Farm Services, Veedersburg, IN 47987",Worker died after being pulled into grain flow while clearing blockage in grain bin. ,Fatality
6/19/2013,"Recycling Inc. Des Moines, IA 50309",Worker fatally crushed between a garbage truck and parked trailer while directing tow truck.,Fatality
6/18/2013,"E Light Electric Services Inc., Desert Center, CA 92239",Worker died of apparent heat-related illness.,Fatality
6/18/2013,"Optima Contratista General, Ponce, PR 00716",Worker killed when side walls inside an excavation collapsed.,Fatality
6/18/2013,"Youngstown Fire Department, Cambria, NY  14132  ",Worker killed in a vehicle collision.,Fatality
6/17/2013,"Townsend Tree Service, Lawrenceburg, KY 40342",Worker suffered fatal fall while cutting tree limbs.,Fatality
6/16/2013,"Nissan North America Inc., Smyrna, TN  37167",Worker struck and killed by articulating robot while replacing robot gears.,Fatality
6/15/2013,"Dick Oykstra Dairy, Ontario, CA 91761",Worker crushed and killed by gate while moving cows.,Fatality
6/15/2013,"Xcel Energy, Artesia, NM 88210",Worker electrocuted when power line he was repairing contacted another live power line.,Fatality
6/14/2013,"David Dougherty Trucking, Rio Linda, CA 95673",Worker fatally crushed when delivery truck he was repairing fell on him.,Fatality
6/14/2013,"Western Waste Management, St. Carson, CA 90745",Worker died after being caught between a forklift and waste cargo trailer. ,Fatality
6/13/2013,"Midwest Roofing Company Inc.,   Pico Rivera, CA 90660",Worker died after falling 17 feet from roof.,Fatality
6/13/2013,"Schindler Elevator Corporation, Sterling, VA 20166",Worker killed when caught between the elevator cab and an I-beam while making repairs in elevator shaft.,Fatality
6/13/2013,"Stevens Creek Quarry Inc., Cupertino, CA  95014","Worker killed when brakes on tractor failed, causing vehicle to roll hit and hit embankment.",Fatality
6/13/2013,"Xylem Tree Experts, Hurley, VA 24620",Worker struck and killed by a tree limb.,Fatality
6/12/2013,"B&H Tractor and Truck, Jackson, MI 49201",Worker died from severe burns after trailer struck a gas line causing an explosion and fire.,Fatality
6/12/2013,"Rock Hill Farm, Bluemont, VA  20135",Worker struck in the head and killed when horse he was loading into trailer kicked him.,Fatality
6/11/2013,"Harwood Engineering Inc., Albuquerque, NM 87107","Worker crushed and killed when 12,000-pound boom fell on him while changing the boom crane cylinders.",Fatality
6/11/2013,"Outlaw Construction Co., Las Cruces, NM 88012",Worker killed after being struck in chest by a reciprocating saw.,Fatality
6/11/2013,"Road Safety LLC, Fulton, MD 20759",Worker struck and killed by vehicle while setting cones for road work.,Fatality
6/11/2013,"Schinler Elevator, Santa Clara, CA  95054",Worker killed when struck by elevator counterweight while making repairs.,Fatality
6/9/2013,"Peacock Lounge, Sunnyvale, CA  94087",Worker shot and killed at worksite parking lot. ,Fatality
6/9/2013,"Securitas Security Services USA, Las Vegas, NV 89106",Worker on security patrol was shot and killed. ,Fatality
6/8/2013,"Cargill Salt, Breaux Bridge, LA 70517",Employee died from an apparent electrocution while connecting a bin indicator for a chipping unit.,Fatality
6/7/2013,"Equipment Depot Ohio Inc., Sidney, OH 45365","A forklift technician died after slipping and falling backwards, striking head on a guardrail.",Fatality
6/7/2013,"Village Mart Inc, Denmark, WI 54208",Employee working under a sport utility vehicle died from crush injuries when the scissor jack lifting the vehicle failed. ,Fatality
6/6/2013,"Air Evac Lifeteam DBA Air Evac EMS Inc., Manchester, KY 40962",Three emergency air evacuation workers killed when helicopter crashed.,Fatality
6/6/2013,"Charles Book, MILES  TX 76861",Employee drowned after the catloader he was operating fell off of a 30-foot cliff into the river.,Fatality
6/6/2013,"Diamond Surface Inc., Manvel, ND 58256",Worker found dead underneath a concrete grinder on a road construction project.,Fatality
6/6/2013,"Jake Marshall Service Inc., Chattanooga, TN  37412",Worker suffered fatal fall while performing mechanical air system service on roof.,Fatality
6/6/2013,"Reclaim Company LLC, Fairmont, WV 26555","Driver killed after trying to stop truck when its brakes released, causing truck to roll backward and strike him.   ",Fatality
6/6/2013,"Ugstad Plumbing, Inc. Fergus Falls, MN  56537","Worker killed when company van he was repairing rolled off the ramps, crushing him underneath.",Fatality
6/5/2013,"Aligned Building Systems LLC, Summerville, GA 30747",Employee killed after falling 30 feet to lower level during demolition activities.  ,Fatality
6/5/2013,"Georg Fischer Central Plastics LLC, Dallas, TX 75236",Two employees were fatally crushed by polyurethane pipes while loading a flatbed trailer. ,Fatality
6/5/2013,"Heartland Drilling, Big Spring, TX 79721",Employee died from apparent heat stress while changing out tong heads during drilling operations. ,Fatality
6/5/2013,"Industrial Roofing and Construction, West Monroe, LA 71292",Employee died from fall and crushing injuries after the concrete channels collapsed beneath him while removing roof deck.,Fatality
6/5/2013,"O&V Transport, LLC, Portland, OR  97230","Worker killed when the truck he was repairing lurched forward, crushing him under the wheel.",Fatality
6/5/2013,"Oregon State Bridge Construction, Inc., La Grande, OR  97850",Worker died from 23-foot fall off wooden walkway being built on bridge.,Fatality
6/5/2013,"The Salvation Army, Philadelphia, PA 19103",Two employees died when an adjacent 4-story structure under demolition collapsed onto the roof of the store they were working causing it to collapse. ,Fatality
6/4/2013,"First Ward Community Service, Saginaw, MI  48601",Employee killed after work vehicle was struck by another vehicle.  ,Fatality
6/4/2013,"G&G Enterprises LLC, Westport, CT 06880",Worker died from head injuries after falling 20 feet from a roof. ,Fatality
6/4/2013,"Infrastructure Corporation of America,  Radford, VA  24141",Worker killed when tractor-trailer struck him while he removed debris along highway.,Fatality
6/4/2013,"Lady Bug Natural Brand, Dripping Springs, TX 78620","Worker killed when auger he was inside fell to ground, causing machine's side rails to strike worker's neck.",Fatality
6/4/2013,"Sary Painting Inc., Harrisonburg, VA 22801",Worker died after falling nearly 10 feet from ladder while painting townhomes.,Fatality
6/4/2013,"Suntree Environment Services Inc., Orlando,  FL 32816",Employee died after being pulled against a tree trunk during felling operations.,Fatality
