Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,01/08/11,12/28/10,"Champion Electrical Services,, Melbourne, FL 32934",Worker was installing recessed light fixtures and fell from an 8-foot ladder.
FY 2011,01/08/11,12/29/10,"Flagship Carwash Center,, Rockville, MD 20850",One worker was killed and two were injured when they were struck by a car that suddenly accelerated as it was being driven out of an exit driveway.
FY 2011,01/08/11,12/29/10,"Honey Creek Disposal Services,, Lawrence, KS 66044",Worker was run over by a refuse truck.
FY 2011,01/08/11,12/30/10,"Mainstay Business Systems Geriatric Home Care Specialists,, Palo Alto, CA 94304",In-home healthcare worker was hit by a bus.
FY 2011,01/08/11,12/31/10,"Contreras Brothers Trucking,, Dade City, FL 33525","Worker was in the process of adjusting the brakes on a flatbed trailer. The mechanic had not checked the wheels before working on the brakes. When the trailer was released from the tractor, it rolled over the worker causing fatal injuries."
FY 2011,01/08/11,12/31/10,"Kykenkee, Inc.,, Vance, AL 35490",Worker was struck by a log that fell from a conveyor.
FY 2011,01/08/11,01/04/11,"ADT Security Services,, Oakdale, PA 15071","Worker was positioned on a portable extension ladder, installing wire. The ladder slipped and the worker fell 14 to 15 feet, striking the concrete floor."
FY 2011,01/08/11,01/04/11,"Harding University,, Searcy, AR 72149",Worker was installing curbing for an HVAC unit and fell about 13 feet to the concrete floor below.
FY 2011,01/08/11,01/04/11,"J.D. Eckman,, Allentown, PA 18102","Worker was operating a jackhammer in a trench when a section of masonry material displaced, fatally pinning him while injuring and entrapping one other employee."
FY 2011,01/08/11,01/04/11,"Mikrut Properties,, Winona, MN 55987",Worker performing demolition was crushed by a partially collapsed wall.
FY 2011,01/08/11,01/04/11,"Unit Drilling Company,, Boulder, WY 82923","Worker was struck and burned when a valve on a standpipe came loose during pressurized drilling, and the mud ignited after coming in contact with a damaged halogen light fixture."
FY 2011,01/08/11,01/05/11,"Jade Ramey Construction LLC.,, Winston-Salem, NC 27106",Worker was fatally injured while working on an air release valve for a 36-foot raw water supply pipe inside a manhole.
FY 2011,01/08/11,01/05/11,"Kinematics Research,, Oakland, TN 38060",Worker killed from flash fire after ignition of gunpowder.
FY 2011,01/08/11,01/06/11,"KM Plant Services,, Peoria, IL 61607","Workers was assigned to wash down the coal house at the power plant and was found on the floor, nonresponsive."
FY 2011,01/08/11,01/10/11,"Chung Hing Inc.,, Elmhurst, NY 11373",Worker was crushed by a collapsed exterior wall.
FY 2011,01/08/11,12/27/11,"Ampam Parks Mechanical,, Santa Monica, CA 90401",Worker fell 14 feet through plywood from second floor when shoring was removed from form.
FY 2011,01/15/11,11/01/10,"Carlos Yard Service Inc.,, Gresham, OR 97080",Worker's vehicle left the road and rolled down an embankment.
FY 2011,01/15/11,12/10/10,"Capri Restaurant & Pizza,, Rockford, IL 61104",Worker slipped and fell injuring her ankle that aggravated a pre-existing condition of varicose veins in her leg.
FY 2011,01/15/11,12/12/10,"Glenn Hepfner, Inc.,, Hartford, WI 53027",Worker was walking across the parking lot and was struck by a truck.
FY 2011,01/15/11,12/19/10,"United Crane and Rigging,, Ft. Meade, MD 20755",Worker was removing packing material from a large battery supply unit using an all-terrain fork truck and the unit fell on the worker.
FY 2011,01/15/11,12/24/10,"Lincoln Manufacturing Inc.,, Magnolia, TX 77354",Worker was operating a pipe threading machine when he stepped into a scrap metal dumpster and hit his left upper leg against the edge of the dumpster.
FY 2011,01/15/11,01/05/11,"City of Rainier,, Rainier, OR 97048",Police Chief shot and killed while attempting to apprehend someone breaking into a car.
FY 2011,01/15/11,01/07/11,"Universal Laundry and Linen,, Las Vegas, NV 89101","Worker was discovered lying on the ground and unresponsive. Cause of death was determined to be cardiac arrest, but the worker exhibited signs of electrical burns. "
FY 2011,01/15/11,01/08/11,"Cyclone Drilling,, Williston, ND 58801",Worker was found at the bottom of the steps leading up to the rig platform.
FY 2011,01/15/11,01/09/11,"Mcjunkin Red Man Corporation,, St. Louis, MO 63111",Worker was found in a fire.
FY 2011,01/15/11,01/10/11,"Polar Service Center,, St. Gabriel, LA 70776",Worker climbed into a tank truck to repair an internal valve and collapsed.
FY 2011,01/15/11,01/11/11,"Lunar Steel LLC,, East Brunswick, NJ 08816",Worker fell 21 feet from a steel beam.
FY 2011,01/15/11,01/11/11,"Slack's Inc.,, Lodi, WI 53555",Worker was loading antiques onto a pallet and fell through a floor opening.
FY 2011,01/15/11,01/12/11,"AEE Palo Seco,, Toa Baja, PR 00949",Worker performing maintenance was suctioned by a pressure vessel that was part of a furnace system.
FY 2011,01/15/11,01/12/11,"Bulk Transportation,, City of Industry, CA  91748",Worker descending tractor trailer ladder fell to ground.
FY 2011,01/15/11,01/12/11,"Coppa's Service Center & Towing,, North Brunswick, NJ 08902",Worker was caught between the flatbed and the cab of a wrecker.
FY 2011,01/15/11,01/12/11,"Homeowner (not named),, Los Angeles, CA 90210","Worker, hired by homeowner, fell 10 feet from a scaffold, landing on head."
FY 2011,01/22/11,10/19/10,"Ghent Vol. Fire Department,, Ghent, NY 12075",Worker sustained fatal injuries in an automobile collision with power pole.
FY 2011,01/22/11,12/14/10,"Griffin Concrete Masonry and Carpentry,, Edenton, NC 27932","Worker on a residential construction site fell 12 feet from a roof, landing on his head."
FY 2011,01/22/11,12/15/10,"Bellevue Community Schools,, Bellevue, IA 52031",Worker slipped on ice and hit head on a building.
FY 2011,01/22/11,01/06/11,"Newell Recycling of Atlanta Inc.,, East Point, GA 30364",Worker was operating a front-end loader removing scrap metal when a spark caused an ignition of gasoline.  The fire engulfed and burned the loader with the worker trapped inside.
FY 2011,01/22/11,01/09/11,"Howard Industries Inc.,, Ellisville, MS  39437","Worker was electrocuted while performing tests on voltage up to 14,440 volts at a transformer testing station."
FY 2011,01/22/11,01/10/11,"J & J Ag Products Inc.,, Clewiston, FL  33440",Worker was electrocuted while spraying a broccoli field when he raised the tractor's spray boom and hit an overhead power line.
FY 2011,01/22/11,01/14/11,"Kerry Inc.,, St. Louis, MO  63122",Worker was trapped between two scissors lifts.
FY 2011,01/22/11,01/14/11,"Knoxville Zoological Gardens,, Knoxville, TN 37914",Worker (elephant keeper) was struck by the head and trunk of an elephant while giving the animal a treat.
FY 2011,01/22/11,01/14/11,"Myrick Marine Contracting Corporation,, Savannah, GA  31421",Worker was struck by an excavator.
FY 2011,01/22/11,01/14/11,"Patterson UTI Drilling Co, LLC.,, Shunk, PA  17768",Worker was hit by a mud pipe at a drilling site.
FY 2011,01/22/11,01/14/11,"Shine and Company Inc.,, Trenton, FL  32693","Worker was working from a 10-foot portable ladder installing HVAC duct piping.  Worker fell from the ladder, striking his head on the concrete slab surface."
FY 2011,01/22/11,01/15/11,"DeVere Construction Co.,, Louisburg, NC 27549",Worker partially in manhole was struck by a swinging excavator bucket and fell into the manhole.
FY 2011,01/22/11,01/15/11,"M & M Farms of Bude Inc.,, Vicksburg, MS  39180",Worker was struck from behind by a falling tree.
FY 2011,01/22/11,01/17/11,"Best Auto Inc.,, Arnold, MO  63010","Worker was inflating a tire when the wheel rim suffered a catastrophic failure, and forced the worker into an adjacent vehicle."
FY 2011,01/22/11,01/17/11,"Wisconsin Plastic Drain Tile Corp.,, Jesup, IA 50648",Worker became pinned between a semi-truck and forklift while trying to get the semi-truck unstuck from snow.
FY 2011,01/22/11,01/18/11,"Zampell Refractories,, Chester, PA  19013",Worker was found collapsed on the floor.
FY 2011,01/22/11,01/19/11,"Chuck Radney Company,, Houston, TX  77015",Worker was in the process of conducting roofing operation on a canopy under construction and fell off the roof.
FY 2011,01/22/11,01/19/11,"Forrest Management Associates Inc.,, Oxford, PA  19363",Worker was cutting trees.  The tree he cut fell and pinned him against another tree.
FY 2011,01/22/11,01/19/11,"Hammer Construction,, Fort Worth, TX  76135",Worker was operating a water truck and was backing up over a bump.  The dirt gave way causing the truck to roll over.
FY 2011,01/22/11,01/19/11,"Key Energy Services,, Boyd, TX  76023",Worker was checking drilling collars to determine which ones were defective and was crushed by two drilling collars that had rolled off the stack.
FY 2011,01/22/11,01/19/11,"Rice Logging Inc.,, Dallas, OR 97338",Worker drove a log loader off a bridge and drowned in the creek/river below.
FY 2011,01/22/11,01/21/11,"Baxter Healthcare Corporation,, Los Angeles, CA 90039","One worker was killed and two injured when they were overcome by fumes; two were cleaning a tank, the third attempted rescue."
FY 2011,01/22/11,01/24/11,"Tortilleria Chinantla,, Brooklyn, NY  11211",Worker was caught in the auger of a dough mixing machine.
FY 2011,01/29/11,01/11/11,"Southern Gulf Citrus Inc.,, Punta Gorda, FL  33982",Worker was picking oranges and was run over by a vehicle that was backing up.
FY 2011,01/29/11,01/13/11,"Blackwater Divers Inc.,, Orlando, FL  32832",Worker was cleaning out a pipe in a 10-foot deep lake.  He was exiting the water and fell over.
FY 2011,01/29/11,01/17/11,"Burkshire Construction Company,, Highland Heights, OH  44122",Worker was operating an articulating boom lift and was re-positioning the aerial lift when his head got caught between the safety railing and a concrete beam.
FY 2011,01/29/11,01/17/11,"Precision Concrete Steel & Manufacturing LLC.,, Claxton, GA  30417",Worker was working on a flat metal roof and fell through a flush-mounted translucent skylight panel to the lower concrete surface.
FY 2011,01/29/11,01/20/11,"Acme Markets,, Newark, DE 19702",Worker was operating a forklift to load truck trailers at a loading dock and was found slumped over the side of the forklift.
FY 2011,01/29/11,01/20/11,"Flintstone Paver Installations LLC.,, Buford, GA  30518",Worker was using a 5-gallon tote of gasoline to prepare to burn wooden pallets and was smoking.  Part of the smoking apparatus sparked onto the gasoline igniting an instantaneous flash fire.
FY 2011,01/29/11,01/20/11,"North Suffolk Mental Health Association, Revere, MA  02151, Certified Testing Services Inc.,",Worker employed at a community-based group home was attacked by a resident.
FY 2011,01/29/11,01/21/11,"Certified Testing Services Inc.,, Orange City, IA 51041",Worker drilling a test hole became entangled in a boring bit on the drilling machine.
FY 2011,01/29/11,01/22/11,"Chicago Streets and Sanitation Department,, Chicago, IL 60608",City worker enforcing street parking for snow removal was struck by a stolen car.
FY 2011,01/29/11,01/22/11,"Steve Draper LLC.,, Jacksonville, FL  32220","Worker was operating a 225-ton crane as part of the demolition process of a old port container crane.  He was lifting a section of the old crane and the crane overturned, crushing the worker underneath the cab of the crane."
FY 2011,01/29/11,01/22/11,"Unit Drilling Corp.,, Oklahoma City, OK  73179",Worker was struck by a mousehole pipe that was being lifted from the rig floor with an air hoist.
FY 2011,01/29/11,01/23/11,"P & B Liquor,, Long Beach, CA 90802",Worker was shot and killed during a possible robbery attempt of a liquor store.
FY 2011,01/29/11,01/24/11,"Advantage Powder Coating Inc.,, Defiance, OH  43512",Worker was struck by pieces of a grinding wheel after the 14-inch wheel exploded.
FY 2011,01/29/11,01/24/11,"Southern Electric Corp. of Mississippi,, Lewisville, TX  75029",Worker was on the ground operating a boom and was electrocuted.
FY 2011,01/29/11,01/25/11,"Britton Bridge,, Knoxville, TN 37917",Worker unloading cylinders from a backhoe onto a truck was caught between the backhoe's bucket and the truck.
FY 2011,01/29/11,01/25/11,"Duffy Inc.,, Smethport, PA  16749",Worker was found caught between a loader bucket and a dumpster.
FY 2011,01/29/11,01/27/11,"Forklift of Toledo,, Toledo, OH  43607",Worker was found at desk with a gunshot wound.
FY 2011,01/29/11,01/27/11,"Jesus De Nova Santa Maria,, Austin, TX  78745",Worker was in a makeshift wooden scaffold box atop the forks of a forklift applying caulk to the outside of an apartment complex at a height of over 20 feet and fell to the ground.
FY 2011,02/05/11,12/11/10,"Tractor Supply Company,, Brentwood, TN 37027",Worker carrying out trash fell off loading dock and hit head.
FY 2011,02/05/11,01/01/11,"Top Flyte Security,, Portland, OR 97204",Worker (security guard) was shot to death in the street outside a nightclub.
FY 2011,02/05/11,01/22/11,"Falcon Landscaping, LLC,, Honolulu, HI 96817",Worker trimming a tree fell when rotted limb gave way.
FY 2011,02/05/11,01/23/11,"Vino Farms,, Santa Rosa, CA 95401",Worker was run over by tractor.
FY 2011,02/05/11,01/26/11,"First Student Inc.,, Center Moriches, NY  11934",Worker was crossing the parking lot and was struck by a snowplow.
FY 2011,02/05/11,01/28/11,"Advanced Roofing Inc.,, Hobe Sound, FL  33455",Worker was replacing the wood block under a trailer hitch when the trailer fell onto the worker.
FY 2011,02/05/11,01/28/11,"Dewitt Excavating,, Clermont, FL  32711",Worker was crushed while clearing a jam in a machine used for mixing soil and cement.
FY 2011,02/05/11,01/28/11,"Eduardo Flores Acosta dba Tron Masonry & Stucco,, Katy, TX 77454",Worker was on the second level of a scaffold when he lost his balance and fell 13 feet to the ground.
FY 2011,02/05/11,01/28/11,"Metro Express, Inc.,, Ontario, CA 91764",Worker was found unresponsive in a vehicle carrying dry ice with the engine running. Possible asphyxiation.
FY 2011,02/05/11,01/29/11,"Emerson Network Power Connectivity Solutions, Waseca, MN 56093",Worker hit head on the overhead protection on a forklift.
FY 2011,02/05/11,01/29/11,"Lowell Transitional Living Center Inc.,, Lowell, MA  01852",Worker was murdered by a client.
FY 2011,02/05/11,01/30/11,"C-D McMullin Trucking LLC, Myton, UT 84052",Worker struck in head by counterweights of a pump jack.
FY 2011,02/05/11,01/31/11,"Hoeganaes Corporation,, Gallatin, TN 37066",One worker killed and one injured by a flash fire from combustible iron dust while working on a conveyor elevator that was moving the iron powder.
FY 2011,02/05/11,01/31/11,"Klink Electric,, Lawrence, PA  15055","Worker was inside a parts basket lifted up by a forklift.  The worker leaned over and the basket tipped over, falling off the forks and 20 feet to the concrete floor."
FY 2011,02/05/11,01/31/11,"Regal Plumbing Corp.,, Brooklyn, NY  11208",Worker was removing existing piping during a remodeling job and fell from a stepladder.
FY 2011,02/05/11,01/31/11,"Village of Western Springs,, Western Springs, IL 60558",Worker fell off water tower.
FY 2011,02/05/11,02/01/11,"Arcelor Mittal LaPlace,, LaPlace, LA  70068",Worker was disconnecting a hose from an air gun attached to a ladle filled with molten steel when the worker was splashed with the molten steel.
FY 2011,02/05/11,02/01/11,"O'Connor Corporation,, Everett, MA  02149",Worker had walked up several flights of stairs and complained that he was not feeling well.  Worker bent over some scaffolding parts and collapsed.
FY 2011,02/05/11,02/02/11,"Adamson's Inc.,, Picabo, ID  83348",Fuel truck with trailer was off-loading fuel when it exploded.
FY 2011,02/05/11,02/02/11,"Magnum Minerals LLC.,, Hereford, TX  79045",Worker was loading a truck with salt from a silo when the silo collapsed.  Worker was struck by the falling debris.
FY 2011,02/05/11,02/02/11,"Placerville Union School District,, Placerville, CA 95667",Worker was shot in office.
FY 2011,02/05/11,02/03/11,"18 Karat Inc.,, Cameron, WV  26033",Worker was operating a bulldozer pulling a water truck up a hill. The bulldozer drifted back and pinned the worker against the water truck.
FY 2011,02/05/11,02/03/11,"Milark Industries Inc.,, Mansfield, OH  44903",Worker was attempting to free a forklift stuck in the snow and was kneeling between two forklifts.  Another worker moved the second forklift closer to connect a chain when the worker was pinned.
FY 2011,02/05/11,02/03/11,"Romero's Construction,, Edison, NJ  08818",Worker was working from a scissor lift and fell 16 feet to the floor.
FY 2011,02/05/11,02/08/11,"Cross-County Contracting Inc.,, New York, NY 10014","Two workers fell off an I-beam down an elevator shaft, 56 feet to the third floor."
FY 2011,02/12/11,11/06/10,"International Marine Terminal,, Port Sulphur, LA 70083",Worker was on a barge when he dropped to his knees and told a coworker he wasn't feeling good.
FY 2011,02/12/11,02/01/11,"Creative Multicare Inc.,, Clarkston, GA 30021",Worker was resurfacing a bathtub in an apartment building and was found on the floor.
FY 2011,02/12/11,02/03/11,"Kaufman Enterprises Inc.,, Williamsburg, IA 52361",Worker cutting down tree was crushed as tree fell to ground.
FY 2011,02/12/11,02/04/11,"AT&T, Starke,, FL 32091",Worker was struck by a vehicle at the work site.
FY 2011,02/12/11,02/04/11,"Caribe General Constructors,, Mayaguez, PR 00680",Worker fell while removing an extension cord tied to a window railing on the third floor.
FY 2011,02/12/11,02/05/11,"CCAPS, LLC DBA ServiceMaster,, Belmont, MA 02578",Worker was electrocuted when cleaning a wet carpet and moving an old lamp.
FY 2011,02/12/11,02/06/11,"Supervalu Inc.,, Hazelwood, MO 63042","Worker was driving a stand-up forklift with forks trailing. The forklift struck a full pallet and the worker was thrown from the forklift, landing on a metal railing."
FY 2011,02/12/11,02/07/11,"Ace in the Hole Towing,, El Dorado, CA 95678",Worker was hit by a tractor trailer rig while hooking vehicle for towing.
FY 2011,02/12/11,02/07/11,"B & B Lumber Co. Inc.,, Jamesville, NY 13078",Worker was caught in a saw.
FY 2011,02/12/11,02/07/11,"Enterprise Products dba Enterprise Transportation,, Freeport, TX 77541",Worker was washing a chemical tanker truck that contained polyurethane foam and was found unresponsive inside the tank.
FY 2011,02/12/11,02/07/11,"Power Zone Equipment,, Center, CO 81125","Worker's clothing was caught on a shaft attached to a motor, which pulled his body into the rotating equipment."
FY 2011,02/12/11,02/07/11,"Trinidad Drilling,, Garden City, TX 79739",Worker checking a motor that pumps water out of a cellar was found unresponsive.
FY 2011,02/12/11,02/08/11,"Chicago Decking & Steel,, Glenview, IL 60026",Worker was struck by a steel beam that was being erected as part of a canopy on the exterior of a hospital addition.
FY 2011,02/12/11,02/08/11,"Dubuque Community School District,, Dubuque, IA 52001",A worker was run over by a vehicle driven by another worker attempting to perform a three-point turn and in reverse at the time of the accident.
FY 2011,02/12/11,02/08/11,"Elevator Dynamic,, Santa Monica, CA 90401",Worker fell into an elevator shaft.
FY 2011,02/12/11,02/08/11,"Green 46 Recycling, LLC,, Rochester, WI 53167",Worker's hood was caught in a piece of equipment used to recycle asphalt shingles and the worker was asphyxiated.
FY 2011,02/12/11,02/08/11,"Rod and Staff Publishers,, Crockett, KY 41413",Worker slipped and hit head in the parking lot arriving at work.
FY 2011,02/12/11,02/08/11,"Two-Brothers Enterprises Inc.,, Cumming, GA 30041",Worker installing a sewer line was trapped inside a trench when the trench collapsed.
FY 2011,02/12/11,02/11/11,"Ameron International,, Rancho Cucamunga, CA 94739",A worker was crushed when a concrete pipe became displaced and struck the worker.
FY 2011,02/12/11,02/11/11,"Setton Pistachio,, Terra Bella, CA 93270",Worker was caught in an auger.
FY 2011,02/19/11,11/09/10,"AA Seamless Gutters,, Midlothian, TX 76065",Worker was working from a roof installing gutters and fell 12-14 feet to the ground below.
FY 2011,02/19/11,01/15/11,"SAR Transportation,, Chico, TX 76431",Worker was raising the bed of a dump truck when it hit an overhead power line. Worker got out of the truck to release the tailgate and was electrocuted.
FY 2011,02/19/11,01/28/11,"Eastern NY Correctional,, Napanoch, NY 12458",Correctional officer in a state prison van was killed when it collided with a private vehicle.
FY 2011,02/19/11,01/31/11,"Liberty Building Services,, Beverly Hills, CA 90211",Worker tripped in an office and fell.
FY 2011,02/19/11,02/01/11,"Staff Management,, Elizabethtown, PA 17022","Worker was walking from the facility to vehicle in the parking lot and slipped, falling on ice."
FY 2011,02/19/11,02/02/11,"SST Energy Corporation,, Douglas, WY 82633",Worker fell 50 to 70 feet when a climbing-assist device failed while descending a derrick ladder.
FY 2011,02/19/11,02/03/11,"Alvan Construction Inc.,, Brielle, NJ 08730",Worker fell from a roof.
FY 2011,02/19/11,02/05/11,"Nassau Co PD Hwy Patrol, Bellmore, NY 11710",Police officer was pushed under a box truck after vehicle was struck by a truck that crossed striped lanes.
FY 2011,02/19/11,02/08/11,"Pneumatic and Hydraulic Company, LLC,, Houston, TX 77095",Worker was replacing a 120 psi pneumatic hose for a compressor system and was struck by the pressurized equipment.
FY 2011,02/19/11,02/10/11,"RM Beverage Delaware LLC,, Portland, OR 97217",Worker struck on head by products when a storage rack collapsed.
FY 2011,02/19/11,02/11/11,"Bland Farms, LLC,, Cato, NY 13033",Worker was on a roof shoveling snow and fell through a skylight.
FY 2011,02/19/11,02/11/11,"Darnell Belt dba D Bell Tree Service,, Centreville, IL 62003",Worker was conducting tree trimming operations when struck on his head by a 6-inch diameter branch.
FY 2011,02/19/11,02/12/11,"Erie Coke Corporation,, Erie, PA 16512",Worker had stepped around the corner of a building and directly into the path of a frontend loader.
FY 2011,02/19/11,02/13/11,"Midstate Manufacturing Company,, Galesburg, IL  61401",Worker doing maintenance in a wet paint booth stepped off a catwalk and fell 20 feet through the ceiling and struck his head on a fixture below.
FY 2011,02/19/11,02/14/11,"Eastern Wood Products Company,, Williamsport, PA  17701",Worker feeding scrap wood into an auger for transport to a primary grinder was entangled in the auger.
FY 2011,02/19/11,02/15/11,"California Highway Patrol,, Garberville, CA 95542",Police officer was struck in a head-on collison.
FY 2011,02/19/11,02/15/11,"Mayberry Machinery Movers Inc.,, Moorestown, NJ  08057",Worker was crushed by a trailer's falling undercarriage.
FY 2011,02/19/11,02/15/11,"Norfolk Iron & Metal Co.,, Norfolk, NE  68701","Worker was walking near racks which contained metal trays.  A forklift struck one of the trays and the tray moved laterally, striking the worker."
FY 2011,02/19/11,02/16/11,"An Hua Laundry Service Inc.,, Jamaica, NY  11433",Worker was asphyxiated after her scarf was caught on the rollers of an iron/press machine.
FY 2011,02/19/11,02/16/11,"Delgado Construction,, Houston, TX  77055",Worker was performing stucco activities from a scaffold platform 14 feet above ground.  Worker fell through an opening between the house and the scaffold as he was reaching to take measurements.
FY 2011,02/19/11,02/16/11,"H.L.S. Fire & Safety,, Delcambre, LA  70528","Worker was swinging from a boat to a work platform and fell into the water, drowning."
FY 2011,02/19/11,02/16/11,"Superior Environmental Solution, Inc.,, Canton, OH  44704",Worker was pinned between a hatch door and the opening framework at the rear end of an industrial vacuum truck.
FY 2011,02/19/11,02/17/11,"Garden City Park FD Hdqtrs,, Garden City Park, NY 11040",Firefighter slipped on ice and struck head
FY 2011,02/19/11,02/17/11,"Joseph M. Sanzari Inc.,, Clifton, NJ  07012",Worker was struck by a motor vehicle.
FY 2011,02/26/11,01/10/11,"Alexander's Ag Flying Service,, Bethel Island, CA 94511",Worker flying a plane crashed after the wing clipped a tower.
FY 2011,02/26/11,02/04/11,"Fisher Barton South Carolina Inc.,, Fountain Inn, SC 29644",Worker fell while placing salt in a tank being prepared for production.
FY 2011,02/26/11,02/08/11,"Enterprise Products Operating LLP,, Mont Belvieu, TX 77580",Worker was blinding flanges on a piping manifold when a fire started. The worker was unaccounted for.
FY 2011,02/26/11,02/09/11,"Gra-Kat Environmental Services,, Walton, KY 41094",Worker was struck by a vehicle while cleaning up an accident site involving an overturned trailer.
FY 2011,02/26/11,02/11/11,"HB Performance Systems Inc.,, Mequon, WI 53092","Worker leaned over to see if a drip pan was full and he fell over, hitting the back of his head."
FY 2011,02/26/11,02/17/11,"Eldridge & Son Farm Equipment,, Morehead, KY 40351",Worker was pinned between vehicle and dump truck while unloading material.
FY 2011,02/26/11,02/17/11,"Purity Plus Water Systems,, Rockford, IL 61109",Worker was struck by a truck.
FY 2011,02/26/11,02/18/11,"Fallon Logging Co. Inc.,, Tillamook, OR 97141",Worker cutting down a tree was struck by the top of another tree that fell to the ground.
FY 2011,02/26/11,02/20/11,"Amf Bowling Centers Inc.,, 300 Dallas, Store 571, Addison, TX 75001",Worker was releasing a jam from a bowling pinsetter machine when the worker was caught by an elevator wheel.
FY 2011,02/26/11,02/20/11,"Davis Specialties Services,, Okeechobee, FL 34972",Worker was installing an antenna on a newly erected 300-foot tower and fell 110 feet from the tower.
FY 2011,02/26/11,02/21/11,"Helmerich & Payne International Drilling Co.,, Midland, TX 79701",Worker was in the process of removing a stabilizer when a piece of equipment was moved or dislodged by a forklift and the piece struck and caught the worker.
FY 2011,02/26/11,02/23/11,"Austin Industrial Services, LP.,, Deer Park, TX 77536",Worker entered a railcar previously containing olefin sulfide and was overcome by hydrogen sulfide.
FY 2011,02/26/11,02/23/11,"Davey Tree Expert Company,, Du Bois, PA 15801",Worker was clearing trees and was struck on the head by a section of a falling tree.
FY 2011,02/26/11,02/23/11,"Rogers Logging Company Inc.,, Magnolia, AR 71753",Worker was approaching a fallen tree to cut off its top while another worker was cutting another tree when a piece broke off and hit the first worker.
FY 2011,02/26/11,02/24/11,"Randy's Window and Carpet Cleaning,, Marina Del Rey, CA 90292",Worker fell 40 feet from the roof of an apartment complex.
FY 2011,02/26/11,02/24/11,"Stronghold Engineering,, Riverside, CA 92507",Worker was electrocuted while working on an electrical panel.
FY 2011,02/26/11,02/25/11,"Metropolitan Water Reclamation Dist.,, Hanover Park, IL 60133",Worker fell 12 feet over a railing after losing control of a Bobcat.
FY 2011,03/05/11,08/31/10,"DMR Company,, Winston-Salem, NC 27101",Worker fell from a ladder while painting a house.
FY 2011,03/05/11,12/04/10,"Aloun Farm, Inc.,, Waipahu, HI 96797",Worker was struck by truck operating in reverse.
FY 2011,03/05/11,02/12/11,"Advanced Tree Service,, Springfield, MA 01103","Worker was dumping a wheelbarrow containing snow over the edge of a flat roof, lost control and fell 15 feet."
FY 2011,03/05/11,02/16/11,"The Cliffs Resort,, Graford, TX 76449",Worker was checking water lines from the shore to the marina and was found in the water by the shore.
FY 2011,03/05/11,02/19/11,"L & J Company,, Aurora, CO 80018",Worker was delivering a load of waste roofing material and he was under the dump truck to engage a hydraulic control lever when his jacket got caught in a rotating power take-off.
FY 2011,03/05/11,02/21/11,"Master Fleet, LLC,, Green Bay, WI 54304","Worker slipped and fell on ice in the parking lot, hitting his head on the ground."
FY 2011,03/05/11,02/23/11,"Coast Career Institute,, Los Angeles, CA 90015",Worker was shot by student during a training session.
FY 2011,03/05/11,02/25/11,"Ceres Gulf Inc.,, New Orleans, LA 70115",Worker was removing a tire from a container handler on a marine dock when the tire blew off its rim.
FY 2011,03/05/11,02/25/11,"Charlotte-Mecklenberg Police Department,, Mint Hill, NC 28227",Worker (SWAT Team Member) working with tactical distraction device (flash bang device) when it activated.
FY 2011,03/05/11,02/28/11,"Brookshire Brothers Ltd.,, Lufkin, TX 75904",Worker was salvaging parts from a mechanical dock leveler. A forklift was raising the dock leveler when it slipped and crushed the worker.
FY 2011,03/05/11,02/28/11,"Central Valley Meat,, Hanford, CA 93230","Worker struck by paddle of meat blender after sanitizing it, and blender wasn't locked out."
FY 2011,03/05/11,02/28/11,"City of White House,, White House, TN 37188",Worker fell into rushing water and got trapped in culvert while clearing debris from a drain.
FY 2011,03/05/11,03/02/11,"Alberto Roman Garcia,, Santa Ana, CA 92701",Worker was crushed by a falling object.
FY 2011,03/05/11,03/02/11,"Patrick Michael Group,, Lake Village, AR 71653",Two workers were in a manlift rigging a steel member hoisted by a crane when the boom collapsed and struck the manlift. Both workers fell 30 feet.
FY 2011,03/05/11,03/02/11,"R & L Carriers,, Birmingham, AL 35217",Worker was crushed between a truck and a loading dock.
FY 2011,03/05/11,03/03/11,"Quick Pak Inc.,, Sharonville, OH 45246",Worker was found after falling 30 feet from an elevated lift.
FY 2011,03/05/11,03/08/11,"Boudier Brothers Construction Group, Inc.,, Violet, LA 70092",Worker doing masonry to cover an opening between a house wall and its foundation was electrocuted when worker came in contact with a set of cables.
FY 2011,03/12/11,03/04/11,"Sauced on Paseo, LLC,, Oklahoma City, OK 73103","Worker was using an electric material hoist to move beer to a lower level when the overloaded hoist failed and struck the worker, coming to rest 8 feet below."
FY 2011,03/12/11,03/05/11,"Manson Mowat a Joint Venture,, Bremerton, WA 98310",Worker was operating a hoist on a spud barge when a piece of the winch came loose and struck him on the head.
FY 2011,03/12/11,03/08/11,"U.S. Postal Service,, Dundee, MI 48131",Worker delivering mail was crushed when a concrete porch collapsed.
FY 2011,03/12/11,03/09/11,"Estis Well Service, LLC,, Plaquemine, LA 70764","Working was positioning a pipe into a hole on a derrick when the pipe shifted, striking the worker, and pinning him between the rig and mud tank."
FY 2011,03/12/11,03/10/11,"General Supply & Services, Inc.,, Pompano Beach, FL 33064",Worker was unloading a truck in the parking lot and was run over by a delivery truck.
FY 2011,03/12/11,03/10/11,"Georgia Power Company,, Claxton, GA 30458",Worker was climbing down a power line transmission structure when he fell to the ground.
