Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,10/09/10,10/08/10,"Domino Window Cleaning, New York, NY 10013",The worker was cleaning the 4th floor window from a ledge without fall protection and fell.
FY 2011,10/09/10,10/08/10,"Miquel Nava, Johns Creek, GA 30097","The worker was carrying shingles to the roof using a ladder. The worker lost his footing, slipped off the ladder and struck his head on the ground."
FY 2011,10/09/10,10/08/10,"Wanzek Construction, White, SD 57383",The worker was working in a windmill farm construction staging area and was struck and killed by a truck.
FY 2011,10/09/10,10/09/10,"Quality Steel Corporation, Cleveland, MS 38732","The worker was moving materials using a crane. The crane tipped over, and the worker was ejected from the cab of the crane. The crane ran over and crushed the worker."
FY 2011,10/16/10,06/26/10,"JBS Auto Parts, Inc. Britt, IA  50423",Worker suffered fatal injuries when support gave way and he was crushed under boat and trailer.
FY 2011,10/16/10,10/06/10,"Mountain Aire Heating & Air Conditioning, Bridgeport, OH 43912","The worker was working in a private home, the resident of the home heard a noise and found worker. The worker never regained consciousness."
FY 2011,10/16/10,10/07/10,"Darling International, Garden City, KS 67846",Two workers were using a plasma cutter to cut a sheet of metal while the metal was sitting on two empty drums of hydraulic fluid. The workers cut into one of the barrels resulting in an explosion/fire. One worker sustained burns to the upper part of this body and face. The other worker sustained fractures and shrapnel wounds.  One fatality.
FY 2011,10/16/10,10/08/10,"Norogachi Construction Galt, CA  95632","Worker sustained fatal injuries after falling 10 to 15 feet from a beam, landing on his head."
FY 2011,10/16/10,10/09/10,"Charles Loeffler, Denville, NJ 07834",The worker was crushed between garage door frame and machine he was attempting to move into the garage resulting in fatal injury.
FY 2011,10/16/10,10/09/10,"Clark County Ambulance Service West Union, IL  62477",Two EMTs suffered fatal injuries in a motor vehicle accident when their ambulance was struck by another vehicle whose diver ran a stop sign.
FY 2011,10/16/10,10/11/10,"Edward E. Wood, Metamora, IL 61548",Worker backed his truck to dump a load of CA6/Roadmix; the truck was in a jackknifed position. As the dump was raised he truck tipped over crushing the cab of the truck.
FY 2011,10/16/10,10/11/10,"Meijer Inc., Columbus, OH, 43230","The worker fell and broke her hip. The worker subsequently had a surgery for her broken hip, and had been in a rehabilitation home for four to five weeks. The worker's son stated that the death could possibly be due to a complication from the surgery."
FY 2011,10/16/10,10/11/10,"Ocean Point Condo, Miami Beach, FL 33139",The worker was attempting to repair an elevator when he got caught in between the elevator and adjacent wall resulting in the worker dying of crushing injuries.
FY 2011,10/16/10,10/11/10,"Trans-Global Solutions, Orange, TX 77631","The worker was on his 5th day training to be a rail switchman. The other members lost contact with him, when he was located, he was found laying next to the rail, with fatal injuries."
FY 2011,10/16/10,10/13/10,"Baker Group, Arenzille, IL 62611",The worker was working alone on a ladder installing piping in preparation for start-up. The worker was found on the ground nonresponsive.
FY 2011,10/16/10,10/13/10,"Kraft/Nabisco Biscuit Company, Chicago, IL  60629",An employee was operating a palletizer when apparently he climbed into the machine to un-jam a pallet and was crushed.
FY 2011,10/16/10,10/13/10,"Ron Perrin Water Technologies, Richmond, TX  77469","Worker was conducting cleaning operations within a 500,000-gallon aboveground water tank, and drowned."
FY 2011,10/16/10,10/13/10,"Wood & Son Construction, Channahon, IL 60410","Two employees were conducting demolition operations and a piece of rebar was lodged in the concrete. Employee 1 used the Bobcat hammer and began hammering the area near the rebar, the vibrations caused the rebar to come free from Employee 2 hand, the rebar struck him in the head, causing serious damage to his cranium."
FY 2011,10/16/10,10/14/10,"AT&T, Chicago, IL  60638","Worker was working from a bucket truck, pulling wire.  An oncoming truck snagged the wire and pulled the worker from the bucket truck."
FY 2011,10/16/10,10/14/10,"Webco, Lake City, CO 81235",Worker rolled backhoe into river.
FY 2011,10/16/10,10/16/10,"Duit Construction, Tulsa, OK 74401",Worker was walking behind a dump truck and was run over by the truck.
FY 2011,10/30/10,05/03/10,"Blue Sky Mason, Honolulu, HI  96822",A coconut tree trimmer suffered fatal injuries after getting caught in his body harness.
FY 2011,10/30/10,07/31/10,"C-Bar-J Corporation, Cannon Falls, MN  55009","Worker was accessing a side kit door of tractor trailer semi and lost grip on handrails; falling backwards, hit back of head on concrete floor."
FY 2011,10/30/10,10/18/10,"IMT Residential,, Austin, TX 78729","Worker was riding in golf cart.  He stepped out while it was still moving, fell, and hit his head."
FY 2011,10/30/10,10/18/10,"Mililani Group Inc dba Mililani Memorial Park,   Waipahu, HI 96797       ","Worker was operating a front-end loader with backhoe attachment when he lost control on a 40- to 60-degree slope. The tractor flipped onto its left side, fatally pinning the worker under the cab's roof area.  No seat belt was found on the tractor."
FY 2011,10/30/10,10/19/10,"Merced County Board of Education, Merced, CA 95343","Worker traveling to client's home, when another person in another vehicle drove into a tractor trailer.  The truck hit the worker's car, resulting in fatal injuries."
FY 2011,10/30/10,10/19/10,"Welding Industrial Supply Company,, Chicago, IL 60643","While delivering compressed gas cylinders, worker collapsed from compressive asphyxia; cause unknown."
FY 2011,10/30/10,10/20/10,"Eun Construction, Inc, Mount Holly NC 28120",The roof section of a screened porch fell and struck the worker.
