Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
9/20/2014,"Paulina Corporation, Farmingdale, NY 11735",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
9/20/2014,"Radio Shack Corporation, Honolulu, HI 96816",Worker fell and suffered fatal head injury.,Fatality,,,,,,,,,,,,,,
9/19/2014,"Champion Homes Inc. LLC, Edmond, OK 73012",Two workers on extended work platform killed when telescoping boom forklift tipped over. ,Fatality,,,,,,,,,,,,,,
9/19/2014,"Delicioso Coco Helado Inc., Bronx, NY 10456",Warehouse worker fatally crushed by roll down gate.,Fatality,,,,,,,,,,,,,,
9/19/2014,"Eagle Natrium LLC, Proctor, WV 26055",Worker died from respiratory burns after being sprayed with caustic solution.,Fatality,997653,,,,,,,,,,,,,
9/19/2014,"J.T. Russell & Sons Inc., NC 18 & I-40/ Exit 105, Westbound, Morganton, NC  28655",Worker performing road construction struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
9/19/2014,"R.E.L. Schneider Co. Inc., Baltimore, MD 21202",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
9/19/2014,"Spartan Industrial Contracting LLC, Dalton, GA 30721",Worker struck and killed by textile machine frame being loaded on truck.,Fatality,,,,,,,,,,,,,,
9/19/2014,"Zodiac Seats USA, Okmulgee, OK 74447",Worker delivering parts killed in plane crash.,Fatality,,,,,,,,,,,,,,
9/18/2014,"Deal's Small Engine, Clinton, TN 37716 ",Worker struck and killed by hook attached to snapped cable.,Fatality,,,,,,,,,,,,,,
9/18/2014,"Henry County Highway Department, Cambridge, IL 61238",Worker killed in fall from ceiling landing.,Fatality,,,,,,,,,,,,,,
9/18/2014,"Lakeview Ranch, Princeton, NJ 08544",Worker fatally trampled by horse. ,Fatality,,,,,,,,,,,,,,
9/18/2014,"Phoenix Trim A. Tree LLC, Phoenix, AZ 85040          ",Worker fatally injured after becoming caught in rope that was loaded into a wood chipper.,Fatality,,,,,,,,,,,,,,
9/17/2014,"AB Discount Plumbing LLC, Oklahoma City, OK 73106",Worker electrocuted while replacing natural gas line in crawl space. ,Fatality,,,,,,,,,,,,,,
9/17/2014,"Harter's Fox Valley Disposal, Freedom, WI 54131",Worker fatally crushed between hydraulic powered trash compactor and truck box.,Fatality,,,,,,,,,,,,,,
9/17/2014,"Michigan Conference Association of Seventh Day Adventists, Lansing, MI 48917",Worker fatally crushed by vehicle.,Fatality,,,,,,,,,,,,,,
9/16/2014,"Glenn Eugene Thorpe, Houston, TX 77029",Truck operator struck and killed by metal structure that fell off the flatbed.,Fatality,,,,,,,,,,,,,,
9/16/2014,"Justin Dekeyzer, Boyce, LA 71409",Worker electrocuted when cotton harvesting machine contacted overhead power line. ,Fatality,,,,,,,,,,,,,,
9/16/2014,"Mastech Advanced Technologies, Waycross, GA 31503",Worker killed in vehicle collison.,Fatality,,,,,,,,,,,,,,
9/16/2014,"Middlebury Academy, Akron, OH 44305",Worker struck and killed by rolling bus. ,Fatality,,,,,,,,,,,,,,
9/16/2014,"Outlaw Company LLC, Ozark, MO 65721",Worker struck and killed by front-end loader. ,Fatality,,,,,,,,,,,,,,
9/16/2014,"PGA West, La Quinta, CA 92253                        ",Worker drowned in pond while cleaning it.,Fatality,,,,,,,,,,,,,,
9/16/2014,"Wood Electric, Union City, IN 47390",Worker killed in fall from water transfer tower.,Fatality,,,,,,,,,,,,,,
9/15/2014,"Alfredo Garcia Urquidez Jr., San Ardo, CA 93450                              ",Worker operating tractor killed when vehicle went off embankment.,Fatality,,,,,,,,,,,,,,
9/15/2014,"Green Leaf Nursery Inc., Homestead, FL 33030",Worker killed when caught in tractor trailer drive shaft.,Fatality,,,,,,,,,,,,,,
9/15/2014,"Jeff Malkow, Monticello, WI 53570",Worker killed when tractor slid into ditch.,Fatality,,,,,,,,,,,,,,
9/15/2014,"Material Management Inc., Arkansas City, KS 67005",Worker operating pump truck electrocuted when vehicle contacted power line.,Fatality,,,,,,,,,,,,,,
9/15/2014,"North Mac CUSD #34 - Intermediate School Girard, IL 62640",Two hundred workers hospitalized for carbon monoxide exposure from faulty boiler flue.,Catastrophe,,,,,,,,,,,,,,
9/15/2014,"Roeder Construction, Grand Island, NE 68801",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
9/15/2014,"San Bernardo Ranch, San Ardo, CA 93450",Worker struck and killed by forklift.,Fatality,,,,,,,,,,,,,,
9/15/2014,"Terral River Service Inc., Tallulah, LA 71282",Worker struck and killed by truck.,Fatality,,,,,,,,,,,,,,
9/14/2014,"Armando & Maria Anzaldo, Pomona, CA 91767",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
9/14/2014,"Liberty Moving and Storage, Denton, TX 76205",Worker killed in fall from forklift.,Fatality,,,,,,,,,,,,,,
9/12/2014,"Allen & Company Inc., Orlando, FL 32828",Worker struck and killed by utility vehicle. ,Fatality,,,,,,,,,,,,,,
9/12/2014,"Federal Express, Parkville, MO 64152",Worker fatally crushed between truck and house.,Fatality,,,,,,,,,,,,,,
9/12/2014,"IW WHITFIELD AGRI-OPS LLC, Kinston, NC 28504         ",Worker unclogging jam from tobacco harvester killed when arm became caught in machine belt. ,Fatality,,,,,,,,,,,,,,
9/12/2014,"Kolek Woodworking Inc., Tarentum, PA 15084",Worker replacing barn roof electrocuted when ladder contacted overhead power line. ,Fatality,,,,,,,,,,,,,,
9/12/2014,"MS Inc., Hato Rey, PR 00919",Worker killed in fall from second floor of building under construction.,Fatality,,,,,,,,,,,,,,
9/12/2014,"Parker Tire Center Inc., Golden, MS 38847",Worker struck and killed by tractor tire inner tube that exploded during inflation.,Fatality,,,,,,,,,,,,,,
9/11/2014,"Precision Blend Gases Inc., Dickinson, TX 77539",Worker killed when oxygen cylinder exploded. ,Fatality,,,,,,,,,,,,,,
9/11/2014,"Schenectady Hardware & Electric Co Inc., Johnstown, NY 12095",Worker electrocuted when boom lift contacted power lines.,Fatality,,,,,,,,,,,,,,
9/10/2014,"Comcast, Somerville, MA 02143",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
9/10/2014,"Complete Energy Services, Mannsville, OK 73447",Worker struck and killed by tubing.,Fatality,,,,,,,,,,,,,,
9/10/2014,"Creighton Brothers LLC, Claypool, IN 46510                     ",Worker killed in fall into pit.,Fatality,,,,,,,,,,,,,,
9/10/2014,"Hollemire International LLC, New Iberia, LA 70560",Worker struck and killed by pipe being offloaded from barge by crane.,Fatality,,,,,,,,,,,,,,
9/10/2014,"Ralph H. Ruiter, West Rutland, VT 05777",Worker struck and killed by falling tree..,Fatality,,,,,,,,,,,,,,
9/10/2014,"Stand-by Personnel, Sand Springs, OK 74063",Worker struck and killed by trash truck.,Fatality,,,,,,,,,,,,,,
9/10/2014,"Synder Brick and Block, Columbus, OH 43204",Plant manager died after being engulfed in sand bin.,Fatality,,,,,,,,,,,,,,
9/9/2014,"Labor Ready, Advance, NC 27006                       ", Worker struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
9/9/2014,"PMJ Builders Inc., Waipahu, HI 96797",Worker killed in fall when scissor lift toppled over.,Fatality,,,,,,,,,,,,,,
9/8/2014,"Kent County Road Commission, Caledonia, MI 49316",Worker struck and killed by construction equipment.,Fatality,,,,,,,,,,,,,,
9/8/2014,"Nature's Capital, Dubois, WY 82513        ",Worker fatally injured by bear.,Fatality,,,,,,,,,,,,,,
9/8/2014,"Stantec Consulting, Albright, WV 26519",Worker fell and suffered fatal head injury after striking pipe.,Fatality,,,,,,,,,,,,,,
9/7/2014,"A & B Auto Recyclers, Lexington, OK 73051",Worker struck and killed by truck that fell from forklift.,Fatality,,,,,,,,,,,,,,
9/7/2014,"Prospect Airport Services, Detroit, MI 48242",Three workers hospitalized when vehicle overturned.,Catastrophe,,,,,,,,,,,,,,
9/6/2014,"Antelo Investments Inc., Naples, FL 34109",Two workersperforming tree trimming operations electrocuted when ladder contacted power line. ,Fatality,,,,,,,,,,,,,,
9/6/2014,"Hussmann Corporation, Bridgeton, MO 63044",Worker fatally crushed between inclined table and stationary rail.,Fatality,,,,,,,,,,,,,,
9/5/2014,"1 Detroit Metro Airport, Detroit, MI 48174", Worker struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
9/5/2014,"Advanced Commercial Roofing Inc., Urbana, IL 61801",Roof worker died from heat exposure.,Fatality,,,,,,,,,,,,,,
9/5/2014,"Atlas Metal & Iron Corporation, Denver, CO 80204",Worker fatally crushed by hydraulic ram.  ,Fatality,,,,,,,,,,,,,,
9/5/2014,"Brennan Masonry Company, Des Plaines, IL 60016",Four masonry workers hospitalized after wall collapse on them.,Catastrophe,,,,,,,,,,,,,,
9/5/2014,"Brown Racing Stable Inc., Elmont, NY 11003",Worker killed in fall from horse.,Fatality,,,,,,,,,,,,,,
9/5/2014,"Davis H Elliot Company New Albany, IN 47150",Worker struck and killed by falling pulley.,Fatality,,,,,,,,,,,,,,
9/5/2014,"Prospect Airport Services, Detroit, MI 48242",Airport baggage handler struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
9/4/2014,"A Greener Image Inc., Jacksonville, FL 32216",Worker drowned when ATV became submerged in retention pond. ,Fatality,,,,,,,,,,,,,,
9/4/2014,"Apex Restaurant Management Inc., Aurora, IL 60505",Three workers hospitalized with gun shot wounds suffered during robbery attempt.,Catastrophe,,,,,,,,,,,,,,
9/4/2014,"CC Builders, Ankeny, IA 50021",Worker killed in fall from ceiling trusses.,Fatality,,,,,,,,,,,,,,
9/4/2014,"MDA Construction Co LLC, Atlanta, GA 30307",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
9/4/2014,"Triple P Oil Field Services Aztec, NM  87410    ",Worker killed in fall from oil derrick.,Fatality,,,,,,,,,,,,,,
9/3/2014,"Automotive Parts Headquarters, St. Cloud, MN  56301                 ",Worker died of complications from hand amputation after suffering cutting torch burn.,Fatality,,,,,,,,,,,,,,
