Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
7/15/2014,"Winlup Painting Inc., Santa Monica, CA 90803",Worker electrocuted when boom lift contacted high voltage line.,Fatality,,,,,,,,,,,,,,
7/14/2014,"H&M Signs Inc., Springfield, VA 22150",Worker installing signs electrocuted by arc from live junction box.,Fatality,,,,,,,,,,,,,,
7/14/2014,"Javier Galindez Landscaper, Laguna Beach, CA 92651",Worker drowned after falling into swimming pool.,Fatality,,,,,,,,,,,,,,
7/14/2014,"Kilgore Industries LP, Houston, TX 77064",Worker electrocuted during remodeling work.,Fatality,,,,,,,,,,,,,,
7/14/2014,"Red Rock Siding and Home Improvement LLC, Iowa City, IA 52245",Worker killed in fall from elevated scaffold platform.,Fatality,,,,,,,,,,,,,,
7/14/2014,"Southeastern Construction and Maintenance Inc., Tampa, FL 33619",Worker killed in fall from catwalk.,Fatality,,,,,,,,,,,,,,
7/14/2014,"SPD Transfer Services LC, Kansas City, KS 66101",Worker suffocated after falling into open-top rail car full of grain.,Fatality,,,,,,,,,,,,,,
7/13/2014,"AEE Planta Central San Juan San Juan, PR 00920",One worker killed and three hospitalized after explosion. ,Fatality,,,,,,,,,,,,,,
7/12/2014,"Krystal Night Limousine Service, Elizabeth, NJ 07201",Worker crushed by vehicle when floor jack gave way.,Fatality,,,,,,,,,,,,,,
7/11/2014,"Hale's Tires, Denver City, TX 79323",Worker struck and killed by exploding tire.,Fatality,,,,,,,,,,,,,,
7/11/2014,"New Horizon Contracting, Yucaipa, CA 92399",Worker died from heat stress while performing asbestos remediation.,Fatality,,,,,,,,,,,,,,
7/11/2014,"Ramirez Roofing, North Plainfield, NJ 07060",Company owner killed in fall from ladder. ,Fatality,,,,,,,,,,,,,,
7/11/2014,"Suntec Concrete Inc., Mesa, AZ 85142",Worker struck and killed by forklift attachment.,Fatality,,,,,,,,,,,,,,
7/10/2014,"Desert Springs Church, Palm Desert, CA 92260",Worker killed after falling and hitting head on floor.,Fatality,,,,,,,,,,,,,,
7/10/2014,"Duran Murphy, Cincinnati, OH 45212",Worker painting residential structure killed in fall from scaffold.,Fatality,,,,,,,,,,,,,,
7/10/2014,"EDRS Inc., Haltom City, TX 76117",Worker performing demolition crushed by falling debris.,Fatality,,,,,,,,,,,,,,
7/10/2014,"Four S & J Incorporated, Black Oak, AR 72414",Worker died from fall inside grain storage bin. ,Fatality,,,,,,,,,,,,,,
7/10/2014,"R L Wells Logging, Benton, IL 62812",Worker struck and killed by falling tree.,Fatality,,,,,,,,,,,,,,
7/10/2014,"Superior Casing, Kremlin, OK 73753",Worker struck and killed by suspended pipe. ,Fatality,,,,,,,,,,,,,,
7/9/2014,"At-Pac Scaffold Services Inc., Marietta, GA 30066",Worker crushed when forklift overturned.,Fatality,,,,,,,,,,,,,,
7/9/2014,"Commercial Tire of Louisiana Inc., Convent, LA 70723",Worker struck and killed by exploding tractor tire.,Fatality,,,,,,,,,,,,,,
7/9/2014,"Diversified Metalworkers, Pasadena, CA 91101",Worker killed in fall through floor opening.,Fatality,,,,,,,,,,,,,,
7/8/2014,"Canam Steel Corporation, Point of Rocks, MD  21777",Worker crushed between metal coils while loading them on rack.,Fatality,,,,,,,,,,,,,,
7/8/2014,"Double RB Services LLC, McIntosh, AL 36553",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
7/8/2014,"East Mississippi Electric Power Association, Ethel, MS 39067",Worker electrocuted after contacting energized power line.,Fatality,,,,,,,,,,,,,,
7/7/2014,"Design Landscape Management Inc., Longwood, FL 32750",Worker drowned when lawn mower flipped over into pond.,Fatality,,,,,,,,,,,,,,
7/7/2014,"Don Van Horn, Aurora, IL 60505",Worker electrocuted after contacting an electrical service drop.,Fatality,,,,,,,,,,,,,,
7/7/2014,"Lynch Tree Service, Nolensville, TN 37135",Worker struck and killed by falling tree.  ,Fatality,,,,,,,,,,,,,,
7/7/2014,"Pacific Topsails Inc., Duvall, WA 98019",Worker caught and crushed by auger.,Fatality,,,,,,,,,,,,,,
7/6/2014,"City of Newport Beach, Newport Beach, CA ",Worker drowned during rescue attempt.,Fatality,,,,,,,,,,,,,,
7/6/2014,"Kellogg Company, Augusta, GA 30906",Worker killed in fall from ladder. ,Fatality,,,,,,,,,,,,,,
7/6/2014,"Korean Air, Seattle, WA 98158",Worker died from injuries suffered during altercation with coworker.,Fatality,,,,,,,,,,,,,,
7/5/2014,"Charter Communications, Woodland, GA 31836",Worker killed when vehicle ran off roadway.,Fatality,,,,,,,,,,,,,,
7/3/2014,"Brewer Services, State College, PA 16803",Worker on ladder electrocuted after contacting power lines.,Fatality,,,,,,,,,,,,,,
7/3/2014,"Dorsett Trucking Incorporated, Phoenix, AZ 85001                          ",Worker struck and killed by steel pole that rolled off truck.,Fatality,,,,,,,,,,,,,,
7/3/2014,"Florida Southern Roofing & Sheet Metal Inc., Sarasota, FL ",Worker killed in fall from truck tailgate.,Fatality,,,,,,,,,,,,,,
7/3/2014,"Fortune Wireless Inc., Cynthiana, KY 41031               ",Worker struck and killed by a falling boom winch cable. ,Fatality,,,,,,,,,,,,,,
7/3/2014,"Heart Land Drilling Inc., San Angelo, TX 76901",Worker killed in fall from derrick platform.,Fatality,,,,,,,,,,,,,,
7/3/2014,"Holt's Heavy Hauling Inc., Humble, TX 77338",Worker acting as spotter struck and killed by tractor trailer.,Fatality,,,,,,,,,,,,,,
7/3/2014,"NYCHRA, Brooklyn, NY 11201",Worker struck and killed by bus.,Fatality,,,,,,,,,,,,,,
7/2/2014,"ABQ Auto Salvage & Recycling, Gamerco, NM 87317",Worker struck and killed by forklift.,Fatality,,,,,,,,,,,,,,
7/2/2014,"Chickies Creek Farm LLC, Mount Joy, PA 17552",Establishment owner electrocuted by conveyer.,Fatality,,,,,,,,,,,,,,
7/2/2014,"Federal Express Corp, Memphis, TN 38116",Worker crushed under an aircraft freight loader. ,Fatality,,,,,,,,,,,,,,
7/2/2014,"GM Plant, Marion, IN 46952",One worker killed and five hospitalized in automotive plant exlposion.,Fatality,,,,,,,,,,,,,,
7/2/2014,"Koch Foods LLC, Morristown, TN 37814 ",Worker electrocuted when the boom of truck contacted a power line.,Fatality,,,,,,,,,,,,,,
7/2/2014,"Monahans Nipple-Up Service, Monahans, TX 79756",Worker killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
7/2/2014,"Sadler's Home Improvements Inc., Baltimore, MD 21205",Worker killed in fall from extension ladder.,Fatality,,,,,,,,,,,,,,
7/2/2014,"South Florida Container Terminal LLC, Miami, FL 33132",Worker struck and killed by cargo container.,Fatality,,,,,,,,,,,,,,
7/1/2014,"Charles Bowlin (DBA AllSystems Roofing), Kexington, KY 40533",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
7/1/2014,"Collins Brothers Towing of St. Cloud, St. Joseph, MN 56377",Worker struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
7/1/2014,"Townsend Corporation, McArthur, OH 45651",Landscape worker struck and killed by car.,Fatality,,,,,,,,,,,,,,
6/30/2014,"Constantine Andrioaie, Little Rock, AR 72223",Worker killed in fall from scaffold.,Fatality,,,,,,,,,,,,,,
6/30/2014,"Intermec Technologies Corp., Cedar Rapids, IA 52401",Worker struck and killed by collapsing wall.ÿ ,Fatality,,,,,,,,,,,,,,
6/30/2014,"Menard Inc., Eau Claire, WI 54703",Worker killed in fall.,Fatality,,,,,,,,,,,,,,
6/30/2014,"Novelis Corporation, Oswego, NY 13126",Worker struck and killed by falling aluminum blocks.,Fatality,,,,,,,,,,,,,,
6/30/2014,"Payne Landscaping, Detroit, MI 48224",Landscape worker died from heat stress.,Fatality,,,,,,,,,,,,,,
6/30/2014,"Penn Truck Leasing, Bloomsburg, PA 17815",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
6/30/2014,"Three Rivers Cutting Inc., Corbin, KY 40701",Worker struck and killed by wrench while dismantling  locomotive engine. ,Fatality,,,,,,,,,,,,,,
6/28/2014,"Impulse Electric, Midland, TX 79705",Worker electrocuted while repairing mud agitator.,Fatality,,,,,,,,,,,,,,
6/28/2014,"Southern Electrical Contractors Inc., Sutton, WV 26601",Worker electrocuted by electrical panel.,Fatality,,,,,,,,,,,,,,
6/27/2014,"AA Container and Reload, Minneapolis, MN 55412",Worker struck and killed by pallet of plywood.,Fatality,,,,,,,,,,,,,,
6/27/2014,"Grand Rapids Plastics Inc., Wyoming, MI 49548 ",Worker crushed inside plastic injection mold press.,Fatality,,,,,,,,,,,,,,
6/27/2014,"I&C Earthmovers Corp, Hallandale Beach, FL 33009",Worker died after falling into exaction hole.,Fatality,,,,,,,,,,,,,,
6/27/2014,"Rick Robertson Logging Inc., Williams, OR 97544",Worker struck and killed by tractor.,Fatality,,,,,,,,,,,,,,
6/26/2014,"John W. Danforth Company, Malta, NY 12020",Worker crushed by air handling unit.,Fatality,,,,,,,,,,,,,,
6/26/2014,"Tate & Lyle Grain Inc., Heyworth, IL 61745",Worker killed when tractor rolled over. ,Fatality,,,,,,,,,,,,,,
6/25/2014,"Capitol City Patrol, Sacramento, CA 95824",Worker killed during robbery.,Fatality,,,,,,,,,,,,,,
6/25/2014,"Crown Equipment, Joliet, IL 60431",Worker killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
6/25/2014,"Delta Electric Company, Jacksonville, FL 32259",Worker electrocuted by commercial light fixture.,Fatality,,,,,,,,,,,,,,
6/25/2014,"Golden Canopy Tree Service, Minnetonka, MN 55345",Worker trimming trees electrocuted after contacting power line.,Fatality,,,,,,,,,,,,,,
6/25/2014,"J A Farms Inc., Delta, UT 84624",Worker killed after being pulled into the auger of a feed machine.,Fatality,,,,,,,,,,,,,,
6/25/2014,"Lloyd D. Nabors Demolition LLC, Irving, TX 75063",Worker struck and killed by falling structure during demolition.,Fatality,,,,,,,,,,,,,,
6/25/2014,"Royce C. Bone, Nashville, NC  27856",Agricultural worker struck and killed by bus transporting workers to fields.,Fatality,,,,,,,,,,,,,,
6/25/2014,"Southwest Research Institute, San Antonio, TX 78228",Worker killed when combustion unit exploded. ,Fatality,,,,,,,,,,,,,,
6/25/2014,"Space Exploration, McGregor, TX 76657",Worker killed in fall from trailer.,Fatality,,,,,,,,,,,,,,
6/25/2014,"Toby Tours and Travel Inc., Louisville, KY 40229",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
6/24/2014,"Agridyne LLC, Pekin, IL 61554",Two workers cleaning railcar tanker died after being exposed to hazardous atmosphere.,Fatality,,,,,,,,,,,,,,
6/24/2014,"Chain Electric Company, Sandersville, GA 31082",Worker drowned when marsh buggy tipped over.,Fatality,,,,,,,,,,,,,,
6/24/2014,"Roger Hughes, DBA, Healdsburg, CA 95448                      ",Worker died from heat stress.  ,Fatality,,,,,,,,,,,,,,
6/24/2014,"Southeastern Sign Company Inc., Brandon, MS 39042",Worker electrocuted.,Fatality,,,,,,,,,,,,,,
6/24/2014,"The Meadows Golf Club, Littleton, CO 80127",Worker killed in tractor rollover. ,Fatality,,,,,,,,,,,,,,
6/24/2014,"Watco Companies LLC, Birmingham, AL 35207",Worker struck and killed by railcar.,Fatality,,,,,,,,,,,,,,
6/23/2014,"A Lamp Road Builders, Bolingbrook, IL 60440",Worker struck and killed by dump truck. ,Fatality,,,,,,,,,,,,,,
6/23/2014,"Brennan Electrical Contractors Inc.,  Troy, MI 48098",Worker on ladder electrocuted by power lines.,Fatality,,,,,,,,,,,,,,
6/23/2014,"El Todo Yonke Yard, Horizon City, TX 79928",Worker struck and killed by forklift.,Fatality,,,,,,,,,,,,,,
6/23/2014,"Gensco Inc., Tacoma, WA 98424",Worker killed when forklift tipped over.,Fatality,,,,,,,,,,,,,,
6/23/2014,"Mark L. Imel, Marianna, FL 32448",Woker killed in fall through roof.,Fatality,,,,,,,,,,,,,,
6/23/2014,"The Davey Tree Expert Company, Claysburg, PA 16625",Worker killed when utility task vehicle overturned. ,Fatality,,,,,,,,,,,,,,
6/23/2014,"Tree Techs Inc., Davie, FL 33328",Worker died after being pulled through wood chipper machine.,Fatality,,,,,,,,,,,,,,
6/23/2014,"Zimba Dairy Farm, Deford, MI 48729",Worker struck and killed by tire and rim.,Fatality,,,,,,,,,,,,,,
6/22/2014,"Diversified Well Logging, George West, TX 78022","Worker killed in vehicle collision.
",Fatality,,,,,,,,,,,,,,
6/21/2014,"Aracruz International Granite LLC, Phoenix, AZ 85009",Worker crushed under granite slabs that were pushed over by forklift.,Fatality,,,,,,,,,,,,,,
6/21/2014,"NYCDOS, Maspeth, NY 11378",Worker crushed between parked and moving vehicles.,Fatality,,,,,,,,,,,,,,
6/21/2014,"Pro-X Builders Inc., Litchfield, MN 55350",Worker killed in fall from barn under construction.,Fatality,,,,,,,,,,,,,,
6/20/2014,"BW Masonry Inc., Van, TX 75790",Mechanic died after being run over by tractor.,Fatality,,,,,,,,,,,,,,
6/20/2014,"Hempstead Tn Dept of Sanitation, Merrick, NY 11566",Worker crushed between sanitation vhehicles.,Fatality,,,,,,,,,,,,,,
6/20/2014,"Here-u-Lift Inc., Des Moines, IA 50313",Worker repairing a forklift was crushed and killed when the slid out.,Fatality,,,,,,,,,,,,,,
6/20/2014,"Kraemer Brothers General Contractor, Richland Center, WI 53581",Worker killed when masonry block fell from crane.,Fatality,,,,,,,,,,,,,,
6/20/2014,"Mancuso Contractors Inc., Cherry Hill, NJ 08002",Worker crushed by falling roof and cinder blocks.,Fatality,,,,,,,,,,,,,,
6/19/2014,"ANP Tire Service, Oakland, CA 94607",Worker struck and killed by falling compressor.,Fatality,,,,,,,,,,,,,,
6/19/2014,"Bishop's Palm Tree Trimming, El Paso, TX 79905",Worker died after falling from aerial lift. ,Fatality,,,,,,,,,,,,,,
6/19/2014,"Campbell Contract Cutting LLC, Junction City, OR 97448",Worker struck and killed by falling tree.,Fatality,,,,,,,,,,,,,,
6/19/2014,"Integrated Production Services, La Ruston, LA 71272",Twoworkers killed in oil and gas well explosion.,Fatality,,,,,,,,,,,,,,
6/19/2014,"J&M Bailing, Farmington, NM 87401",Worker killed when bailing equipment rolled over.,Fatality,,,,,,,,,,,,,,
6/19/2014,"Revlett Grain Farm, Island, KY 42350",Worker killed after becoming caught in auger.,Fatality,,,,,,,,,,,,,,
6/19/2014,"Sawtooth Enterprises LLC, Byers, CO 80103",Two painters died in fall from aerial lift.,Fatality,,,,,,,,,,,,,,
6/18/2014,"Entertainment Fireworks, Inc., Tenino, WA 98589",One worker killed and two hospitalized after fireworks explosion.,Fatality,,,,,,,,,,,,,,
6/18/2014,"Martenson Construction LLC, Flagstaff, AZ 86001",Worker killed in fall from scaffold.,Fatality,,,,,,,,,,,,,,
6/18/2014,"NYSOMH Mid-Hudson Forensic Psych Center, New Hampton, NY 10958",Worker died after being pinned under truck.,Fatality,,,,,,,,,,,,,,
6/18/2014,"S C Helton dba S C Helton Construction, Medon, TN  38356
                        ",Worker killed in fall from bucket lift.,Fatality,,,,,,,,,,,,,,
6/18/2014,"Surlean Foods, San Antonio, TX 78207",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
6/17/2014,"Double Dutch Dairy, Shelby, NE 68662",Worker struck and killed by front end loader.,Fatality,,,,,,,,,,,,,,
6/17/2014,"Frankfort Square Park District, Frankfort, IL  60423",Worker killed when mower overturned.  ,Fatality,,,,,,,,,,,,,,
6/17/2014,"Logan Custom Homes, LLC Sapphire, NC  28774",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
6/17/2014,"Microwave Transmission Systems Inc., San Angelo, TX 76903",Worker died after falling from tower. ,Fatality,,,,,,,,,,,,,,
6/17/2014,"Modern Joa Trading Inc., Maspeth, NY 11378",Worker struck and killed by forklift counterbalance.,Fatality,,,,,,,,,,,,,,
6/17/2014,"Robertson Incorporated Bridge and Grading Division, Delta, MO 63744",Summer intern crushed by crane.,Fatality,,,,,,,,,,,,,,
6/17/2014,"Specialized Roofing & Contracting Inc., Orlando, FL 32812",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
6/17/2014,"The Bridges Brothers Trucking Company, Columbus, OH 43219",Worker repairing truck killed when transmission fell on him.,Fatality,,,,,,,,,,,,,,
6/16/2014,"Buddy Segura Masonry, Battle Mountain, NV 89820",Worker killed in fall from scaffold.  ,Fatality,,,,,,,,,,,,,,
6/16/2014,"Doepke Farm, Wilton, ND 58579",Worker died after being engulfed by corn in grain bin.,Fatality,,,,,,,,,,,,,,
6/16/2014,"DTE Energy Company, Detroit, MI 48226",Worker electrocuted by transformer.,Fatality,,,,,,,,,,,,,,
6/16/2014,"Eli's Tree Service Company LLC, Parkville, MO 64152",Worker electrocuted when his climbing harness contacted power line.,Fatality,,,,,,,,,,,,,,
6/14/2014,"Jobe Materials LP, Canutillo, TX 79835",Worker asphyxiated after entering an asphalt tank to clean it.,Fatality,,,,,,,,,,,,,,
6/13/2014,"Blue Basket Farms, Milton, FL 32570",Worker died after being struck by lightning.,Fatality,,,,,,,,,,,,,,
6/13/2014,"Contek Construction LLC, Suwanee, GA 30024",Worker performing welding work killed in fall through unguarded sky light. ,Fatality,,,,,,,,,,,,,,
6/13/2014,"Fortner Logging LLC, Logan, WV 25601",Worker struck and killed by spring pole while cutting trees.,Fatality,,,,,,,,,,,,,,
6/13/2014,"Healy Electric & Controls, Point Mugu, CA 93042",Worker repairing a power line electrocuted after contacting an energized conductor.,Fatality,,,,,,,,,,,,,,
6/13/2014,"L&J Forestry Products, LLC, Whitehall, MI 48461",Worker struck and killed by falling tree.,Fatality,,,,,,,,,,,,,,
6/13/2014,"SKJV, Indianapolis, IN 46204",Worker struck and killed while traveling through tunnel on train.,Fatality,,,,,,,,,,,,,,
6/12/2014,"D.L.S. Prestressed Inc., Hallandale, Beach, FL 33009",Worker crushed by crane that fell while traveling over uneven terrain.,Fatality,,,,,,,,,,,,,,
6/12/2014,"Nucor Steel - Berkeley Division Huger, SC 29450",Worker fatally crushed between a mold stand and frame.,Fatality,,,,,,,,,,,,,,
6/11/2014,"Bovard Studios, Fairfield, IA 52556",Worker killed in fall down stairs.,Fatality,,,,,,,,,,,,,,
6/11/2014,"Ceco Pipeline Service, Jeffersonville, KY 40337",Worker killed in motor vehicle collison.,Fatality,,,,,,,,,,,,,,
6/11/2014,"Cochise County Roofing and Referrals, LLC, Hereford, AZ 85615",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
6/11/2014,"La Vina Ranch, Madera, CA 93639",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
6/11/2014,"Trulite Glass and Aluminum Solutions, Las Vegas, Nevada 89106              ",Roof worker killed in fall through unprotected skylight. ,Fatality,,,,,,,,,,,,,,
6/10/2014,"A Great Northern A'Fair Ltd., Alamosa, CO 81101",Worker crushed under a carnival ride trailer when it detached from semi-truck. ,Fatality,,,,,,,,,,,,,,
6/10/2014,"Coastal Lawn Care Inc., Freeport, ME 04032",Worker struck and killed by hydraulic lift of a skid-steer.,Fatality,,,,,,,,,,,,,,
6/10/2014,"D. Construction Inc., Coal City, IL 60416",Worker struck and killed by the flywheel cover of a wood chipper.,Fatality,,,,,,,,,,,,,,
6/10/2014,"JBS USA LLC, Greeley, CO 80631",Worker killed after becoming caught in conveyor belt.,Fatality,,,,,,,,,,,,,,
6/10/2014,"MGM Grand, Las Vegas, NV 89109",Worker killed in fall through window after being struck by cart.,Fatality,,,,,,,,,,,,,,
6/10/2014,"One Grade, Inc., Mint Hill, NC  28227",Worker died after being pinned against trench wall by excavator.  ,Fatality,,,,,,,,,,,,,,
6/10/2014,"Pep Boys #209, Houston, TX 77037",Worker restocking an automotive part was killed in fall from a mobile work platform.,Fatality,,,,,,,,,,,,,,
6/10/2014,"Ric-Man International Inc., Weston, FL 33326",Worker performing diving operations drowned in excavation ditch.,Fatality,,,,,,,,,,,,,,
6/10/2014,"RT Roofing, LLC, San Juan, PR 00924",Worker placing metal sheet on roof was electrocuted after contacting power lines.,Fatality,,,,,,,,,,,,,,
6/10/2014,"Southern IL University - Carbondale, Carbondale, IL 62901",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
6/10/2014,"Supervalu Inc., Indianola, MS 38751",Worker killed in fall from scissor lift.,Fatality,,,,,,,,,,,,,,
6/10/2014,"Ventra Belvidere LLC, Belvidere, IL 61008",Worker killed after being caught and crushed in automobile  assembly machine.,Fatality,,,,,,,,,,,,,,
6/9/2014,"Bob's Sanitation, Inc., Moab, UT 84532",Worker crushed by garbage truck tailgate.,Fatality,,,,,,,,,,,,,,
6/9/2014,"CMS Roofing West Columbia, SC 29170",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
6/9/2014,"Heuer Construction, Muscatine, IA 52761",Worker putting air in tire struck and killed when tire ring blew off.,Fatality,,,,,,,,,,,,,,
6/9/2014,"Mark's Water Well Service, Andrews, TX 79714",Worker electrocuted when mast of a water service truck contacted a power line.,Fatality,,,,,,,,,,,,,,
6/9/2014,"Trees Inc., Meriden, CT 06451",Worker struck and killed by falling tree limb.,Fatality,,,,,,,,,,,,,,
6/8/2014,"Waste Management Inc., Cypress, TX 77433",Worker killed in fall from the back of refuse truck.,Fatality,,,,,,,,,,,,,,
6/7/2014,"Donaly Roofing and Construction Inc., Chicago, IL 60642",Worker killed in fall through roof hatch.,Fatality,,,,,,,,,,,,,,
6/7/2014,"Summit Point Motorsports Park, Summit Point, WV 25446",Worker killed in vehicle collsion.,Fatality,,,,,,,,,,,,,,
6/7/2014,"Worldwide Construction & Restoration Inc., Miami Beach, FL 33141",Worker electrocuted when aerial lift basket contacted overhead power line.,Fatality,,,,,,,,,,,,,,
6/6/2014,"Durst Brothers Dairy, Mantorville, MN 55955",Worker died after being pinned to ground by wing of pickup hay merger.,Fatality,,,,,,,,,,,,,,
6/6/2014,"Pit Stop Fuels, Portland, ME 04103",Worker was run over by vehicle while conducting repairs. ,Fatality,,,,,,,,,,,,,,
6/6/2014,"The Zimmerman Agency, De Beque, CO 81630",Worker killed in ATV collision.,Fatality,,,,,,,,,,,,,,
6/6/2014,"Velazquez Muffler Shop, Indianapolis, IN 46222",Worker struck and killed by hydraulic lift.,Fatality,,,,,,,,,,,,,,
6/5/2014,"Crist Roofing & Construction Inc., Hiram, GA 30141",Worker's crushed between arm and hydraulic lift of a bobcat  ,Fatality,,,,,,,,,,,,,,
6/5/2014,"Global Development, Newark, NJ 07112",Worker killed when excavator overturned.,Fatality,,,,,,,,,,,,,,
6/5/2014,"Hudson Elevator Group Inc., Sunnyside, NY 11104",Worker killed in fall down elevator shaft.,Fatality,,,,,,,,,,,,,,
6/4/2014,"D & D Drilling Co. & Exploration Inc., Vidalia, LA 71373",Worker electrocuted after stepping on electrical cable. ,Fatality,,,,,,,,,,,,,,
6/4/2014,"Marathon Electrical Contractors Inc., Mobile, AL 36615",Worker electrocuted while installing electrical box.,Fatality,,,,,,,,,,,,,,
6/4/2014,"Polyvel Inc., Hammonton, NJ 08037",Worker struck and killed by mixer lid.,Fatality,,,,,,,,,,,,,,
6/3/2014,"Montana Specialty Mills LLC, Great Falls,  MT 59404",Worker killed after falling into floor level auger.,Fatality,,,,,,,,,,,,,,
6/3/2014,"New Hope Community Inc., Loch Sheldrake, NY 12759",Worker killed when riding mower flipped over.,Fatality,,,,,,,,,,,,,,
6/3/2014,"Start Skydiving, Middletown, OH 45042",Worker struck and killed by moving propeller.,Fatality,,,,,,,,,,,,,,
6/2/2014,"California Erectors, Inc., Hanford, CA 93230",Steel worker died from heat stress.,Fatality,,,,,,,,,,,,,,
6/2/2014,"Clemson First Case Painting Salem, SC 29676",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
6/2/2014,"Cottage Investors of Canton LLC, Canton, TX 75103",Worker electrocuted by recirculation pump. ,Fatality,,,,,,,,,,,,,,
6/2/2014,"Los Amigos Grocery & Meats, Tampa, FL 33605",Worker electrocuted while working on equipment.,Fatality,,,,,,,,,,,,,,
6/2/2014,"Peerless Steel, Saginaw, MI 48601",Worker crushed by steel.,Fatality,,,,,,,,,,,,,,
6/2/2014,"Projection One Inc., Miami Beach, FL 33140",Woker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
6/1/2014,"El Torito Restaurant, Manhattan Beach, CA 90266",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
6/1/2014,"National Enclosure Company LLC, Cleveland, OH 44199",Worker killed in fall while trying to set glass. ,Fatality,,,,,,,,,,,,,,
5/31/2014,"Mercado Tree Service, Elk Grove, CA 95758",Worker died in fall while pruning a tree.,Fatality,,,,,,,,,,,,,,
5/30/2014,"Advanced Tree Service, Gainesville, FL 32608",Tree care worker killed in fall from boom bucket.,Fatality,,,,,,,,,,,,,,
5/30/2014,"Cogdall Construction Company, Inc., Fife, WA 98424",Worker killed when forklift overturned. ,Fatality,,,,,,,,,,,,,,
5/30/2014,"Disney Construction, Inc., Buringame, CA 94010",Two workers struck and killed by man basket that fell from a crane.,Fatality,,,,,,,,,,,,,,
5/30/2014,"FME Trucking, Brownfield, TX 79316",Worker died from exposure to hydrocarbons.,Fatality,,,,,,,,,,,,,,
5/30/2014,"Hector Tamez, Dallas, TX 75227",Owner crushed when the truck he was working on slipped off its support.,Fatality,,,,,,,,,,,,,,
5/30/2014,"IMC Steel Construction Inc., Jacksonville, FL 32221",Worker installing insulation material killed in fall from roof.,Fatality,,,,,,,,,,,,,,
5/30/2014,"King Construction Inc., Windsor, CT 06006",Worker installing a sewer line was crushed by bucket as it was lowered inside trench. ,Fatality,,,,,,,,,,,,,,
5/30/2014,"Restoration & Waterproofing Contractors Inc., Wichita, KS 67202",Worker crushed between freight elevator and floor. ,Fatality,,,,,,,,,,,,,,
5/30/2014,"Ri Li Construction Inc., Maplewood, NJ 07040",Worker struck and killed when excavated wall collapsed.,Fatality,,,,,,,,,,,,,,
5/30/2014,"Waste Management, Pontotoc, MS 38863",Worker at landfill struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
5/29/2014,"Fischer Farm, Black Creek, WI 54106",Worker died after being pinned under a tractor.,Fatality,,,,,,,,,,,,,,
5/29/2014,"Freehold Cartage Inc., Freehold, NJ 07728",Worker crushed by falling door of a vacuum storage tank. ,Fatality,,,,,,,,,,,,,,
5/29/2014,"Latite Roofing and Sheet Meet LLC, Pompano Beach, FL 33062",Roof worker struck and killed by lightning.,Fatality,,,,,,,,,,,,,,
5/29/2014,"NYSDSP Troop C, Binghamton, NY 13901     ",Worker struck and killed by motor vehicle. ,Fatality,,,,,,,,,,,,,,
5/29/2014,"Tides International Edgefield, SC 29824",Worker struck and killed by forklift.,Fatality,,,,,,,,,,,,,,
5/28/2014,"Alpine Ascents International, Ashford, WA 98304",Two alpineguides killed in avalanche.,Fatality,,,,,,,,,,,,,,
5/28/2014,"City of Garnavillo, Garnavillo, IA 52049",Worker killed after being pinned between a tractor mower and garage door.,Fatality,,,,,,,,,,,,,,
5/28/2014,"Espana Brothers Corporation, Philadelphia, PA 19104",Worker performing interior demolition electrocuted after contacting energized conductors.,Fatality,,,,,,,,,,,,,,
5/28/2014,"Scout Lake Construction, Inc., Mattawa, WA 99349",Two workers killed in dump truck collision. ,Fatality,,,,,,,,,,,,,,
5/28/2014,"Stockton Police Department, Stockton, CA 95207",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
5/27/2014,"Alpha Baking Co. Inc., Chicago, IL 60639",Worker crushed when equipment arm rotated during reairs. ,Fatality,,,,,,,,,,,,,,
5/27/2014,"HBD/Thermoid, Inc., Salisbury, NC  28144                                  ",Worker killed after being pulled into commercial roller press.,Fatality,,,,,,,,,,,,,,
